ent_id,ent_name,category
13,4U,Amount
39,25ng/ml,Amount
88,25nmol/ml,Amount
109,每日80mg,Amount
121,0.15U/kg,Amount
129,25~50μg/d,Amount
170,20~50rnl,Amount
214,2.5毫克,Amount
274,中等剂量,Amount
324,1~16,Amount
336,37.5μg/d,Amount
343,28000mg,Amount
354,大量,Amount
369,每日40mg,Amount
427,每日用量40u以上,Amount
454,小剂量,Amount
484,500ml,Amount
511,500mg,Amount
514,10mg,Amount
528,51.3±26.7)U/d,Amount
551,60~100mg/d,Amount
578,500pmol/L,Amount
620,1700mg/d,Amount
624,2~6U,Amount
642,2粒,Amount
672,10~20mg,Amount
677,70~120滋Ci,Amount
691,300mg,Amount
742,需要量增加25%~30%,Amount
746,0.7U,Amount
757,150~300mg/d,Amount
802,5~10,Amount
811,1500~2000ml,Amount
812,每kg体重减少20%~25%,Amount
861,0.1~0.3U/(kg·d),Amount
867,每次50~100mg,Amount
883,2.5mg,Amount
905,8肽,Amount
910,100mg,Amount
923,剂量减半,Amount
926,0.2·kg-1·d-1,Amount
939,50μgqd,Amount
947,1.0g,Amount
964,10mg·kg-1·d-1,Amount
977,15,Amount
1060,37.5mg,Amount
1070,30~60,Amount
1100,1000毫克,Amount
1113,500mg/片,Amount
1140,1~2单,Amount
1143,2.5~30.0,Amount
1177,减少10U,Amount
1227,>200μg/d,Amount
1261,1、10、20μmol/L,Amount
1279,13.0mg/d,Amount
1402,2000rng/d,Amount
1411,0、25、50和100nmol/ml,Amount
1439,1~2单位,Amount
1444,3.75mg/次,Amount
1461,常用剂量为50mg/d,Amount
1502,1μmol/L,Amount
1564,1000,Amount
1607,0.5g/片,Amount
1619,0.5~lg,Amount
1626,50单位/天,Amount
1671,0.75mg,Amount
1686,2~4g/d,Amount
1712,大于80U,Amount
1715,70%,Amount
1730,45mg/d,Amount
1743,80m∥d,Amount
1789,2~3g/d,Amount
1808,(0.7±0.1)U/h,Amount
1840,250ml,Amount
1879,4000IU,Amount
1925,(250mg/片,Amount
1931,501TIg/a,Amount
1941,最高至1.2U/kg,Amount
1976,0.2~0.3单位/千克体重,Amount
1993,500~2000毫克/天,Amount
1996,60mg,Amount
2008,400mg/L,Amount
2018,0.6~1.8mg/d),Amount
2022,25mgqd,Amount
2045,0.03μg/kg,Amount
2101,0.2mg,Amount
2135,20,Amount
2205,1.5mg/eGFR,Amount
2241,每日20~40mg/kg,Amount
2278,8g,Amount
2323,10μg/ml,Amount
2373,0.10μmol/L,Amount
2387,30mg/kg,Amount
2388,200μg/kg,Amount
2394,2.5mg/d,Amount
2416,200mg/d,Amount
2422,24mg/d,Amount
2428,40mg,Amount
2431,低于50U/d,Amount
2439,10%~15%,Amount
2546,50μg,Amount
2554,7.5mg/周,Amount
2617,5.5mmol/L,Amount
2618,超大剂量,Amount
2692,0.28tid,Amount
2720,1000nmol/L,Amount
2858,75~100mg/d,Amount
2914,1.8mg,Amount
2932,300mg/kg,Amount
2945,16U,Amount
2949,1500~2550nag,Amount
2965,80mg,Amount
2986,150~600,Amount
2987,最大剂量为100m∥d,Amount
3026,1U/kg,Amount
3032,15~45mg/d,Amount
3040,5.0μmol/L,Amount
3074,35mg/kg,Amount
3087,1750mg/d,Amount
3113,3.0~4.0,Amount
3169,2000~2550mg/d,Amount
3173,3.0mg/d,Amount
3175,25μg,Amount
3186,1次,Amount
3194,每餐60mg,Amount
3220,75mg/d,Amount
3250,500滋l,Amount
3255,379mg,Amount
3256,8U,Amount
3359,320mg/d,Amount
3377,300IU,Amount
3394,0.2mg/kg,Amount
3398,600mg/片,Amount
3401,100μg/kg,Amount
3413,50mg,Amount
3444,15U,Amount
3451,≤125IU,Amount
3480,0.30mg/kg,Amount
3494,250毫克/片,Amount
3501,2000me/d,Amount
3507,0.2~0.4单位/千克体重,Amount
3520,30~50,Amount
3553,300rag/d,Amount
3555,75mg,Amount
3602,每日120mg,Amount
3606,20毫克,Amount
3614,10~24g,Amount
3617,30g,Amount
3644,40mmol/L,Amount
3650,1mg+500mg/片,Amount
3651,1片,Amount
3711,45~50mg/d,Amount
3719,<750mg,Amount
3765,12.5~25mg/d,Amount
3837,200,Amount
3841,2~3单位,Amount
3852,15μg,Amount
3884,3单位,Amount
3887,12~18单位,Amount
3960,80~320,Amount
3967,20mgbid,Amount
4003,30~120mg/d,Amount
4051,80μg,Amount
4078,1支,Amount
4085,每日300mg,Amount
4100,0.14U/kg,Amount
4117,50ng/ml,Amount
4136,1~2U/kg,Amount
4155,4~5mg·kg-1·d-1,Amount
4156,2~4mg,Amount
4173,1.2mg,Amount
4178,0.25、0.5、1、2、4mg,Amount
