ent_id,ent_name,category
3,前列腺肥大,Disease
6,心脑血管动脉粥样硬化,Disease
8,自身免疫破坏所致的胰岛炎,Disease
19,PPP,Disease
23,baPWV增加,Disease
25,代谢性神经病变,Disease
26,IUGR,Disease
44,单纯糖皮质激素不足,Disease
52,线粒体疾病,Disease
53,垂体卒中,Disease
74,右肾上腺嗜铬细胞瘤,Disease
77,高度侵袭性癌,Disease
79,原发甲减,Disease
80,痛性糖尿病神经病变,Disease
83,高TG合并低HDL-C,Disease
98,睡眠呼吸暂停综合征,Disease
99,T细胞性白血病,Disease
104,绝经期综合征,Disease
106,呼吸循环衰竭,Disease
114,肝细胞脂肪变,Disease
119,陈旧性骨折,Disease
127,角膜破裂,Disease
134,原发性甲状旁腺亢进症,Disease
136,超重,Disease
144,黄斑变性,Disease
151,MODY,Disease
165,死亡事件,Disease
182,充血性心力衰竭,Disease
192,血管炎,Disease
196,垂体炎,Disease
199,永久性高血糖,Disease
201,空腹血糖受损,Disease
203,肾脏终末,Disease
207,葡萄球菌感染,Disease
211,移植后血脂异常,Disease
212,胰岛素敏感性受损,Disease
230,APS-3,Disease
241,迟发性男性性腺功能减退,Disease
242,睡眠剥夺,Disease
255,急性肾移植排斥反应,Disease
258,2型糖尿病伴下肢动脉病变,Disease
265,眶内肿瘤,Disease
266,EAE,Disease
279,龋病,Disease
289,CTLA-4抗体相关性垂体炎,Disease
293,肝肾功能异常,Disease
296,右心室肥厚,Disease
297,垂体瘤,Disease
300,复杂性肾结石,Disease
303,肺转移,Disease
307,肺毛霉菌病,Disease
317,Kallman综合征,Disease
321,糖尿病心血管并发症,Disease
347,腔隙性脑梗死,Disease
351,肺癌,Disease
364,中枢神经系统损害,Disease
366,过敏体质,Disease
368,神经传导异常,Disease
370,根尖炎,Disease
373,结肠病变,Disease
376,先天性慢性胰腺炎,Disease
380,轻中度肾损伤,Disease
385,宫内发育迟缓,Disease
387,GD,Disease
388,冠状动脉心脏病,Disease
389,激素分泌与代谢活动的异常,Disease
390,膀胱功能障碍,Disease
391,低促性腺性性腺功能减退,Disease
392,肾功能减退,Disease
399,动脉中膜钙化,Disease
400,高渗性脱水,Disease
401,DN肾纤维化,Disease
409,垂体下丘脑疾病,Disease
410,纤溶,Disease
414,纤维化疾病,Disease
425,分化型甲状腺癌术后复发,Disease
436,MHO,Disease
443,HADH-HI,Disease
448,体重超重,Disease
451,弥漫性大B细胞淋巴瘤,Disease
461,亚临床甲减,Disease
473,围绝经期综合征,Disease
485,促肾上腺皮质激素分泌功能减退,Disease
486,慢性肾小球肾炎,Disease
501,糖尿病性心肌病,Disease
502,PF,Disease
505,结肠癌,Disease
512,糖尿病酮症,Disease
521,垂体前叶功能低下,Disease
522,糖尿病微血管和大血管并发症,Disease
529,亚临床甲状腺疾病,Disease
540,免疫性胰岛炎,Disease
550,青春期PCOS,Disease
559,肝细胞内脂肪沉积,Disease
560,腰椎骨折,Disease
562,非致死性缺血性卒中,Disease
563,皮肤病,Disease
564,ACTH依赖的库欣综合征,Disease
566,妊娠期糖尿病(GDM,Disease
573,亚临床型甲状腺功能异常,Disease
576,骨肉瘤,Disease
590,缺血性病变,Disease
591,Lynch综合征,Disease
600,肝炎),Disease
609,老年糖尿病肾病,Disease
613,颈部淋巴病,Disease
615,单纯高甘油三酯血症,Disease
617,心血管事件及死亡,Disease
621,远端对称性多发性神经病变,Disease
633,肾小管功能损伤,Disease
638,肾上腺皮质功能异常,Disease
643,膀胱肿瘤,Disease
645,急性肝损伤,Disease
651,慢性尿酸盐肾病,Disease
655,右侧肾上腺皮质腺瘤,Disease
662,磺胺类药物过敏,Disease
664,甲状腺乳头状癌,Disease
667,2型糖尿病并发症,Disease
671,口腔黏膜炎,Disease
678,毒性功能自主性甲状腺腺瘤,Disease
683,ISH,Disease
689,经典型21OHD,Disease
693,HI,Disease
700,低钾碱中毒,Disease
703,神经根病变,Disease
705,早期DN,Disease
711,睡眠呼吸暂停综合征(OSAS),Disease
717,维生素D缺乏或不足,Disease
722,肾脏损伤,Disease
730,急性败血症,Disease
737,腹型肥胖者,Disease
740,糖调节受损,Disease
752,胎儿重大畸形,Disease
764,纤维瘤,Disease
765,不典型嗜铬细胞瘤,Disease
768,在T2DM合并肾功能不全,Disease
772,线粒体基因突变疾病,Disease
778,放射性碘难治性甲状腺癌,Disease
796,贫血,Disease
800,慢性动脉闭塞症,Disease
804,暂时性新生儿糖尿病,Disease
820,癌症死亡,Disease
821,鼻息肉,Disease
827,骨痛,Disease
834,电解质紊乱,Disease
839,维生素D充足,Disease
842,代谢紊乱症候群,Disease
843,早期糖尿病肾脏病变,Disease
844,骨转换异常,Disease
847,急慢性感染,Disease
848,心血管自主神经病变,Disease
859,HuA,Disease
863,大腺瘤,Disease
