ent_id,ent_name,category
28,托拉塞米,Drug
31,腈美克松,Drug
41,口服降糖药,Drug
47,门冬胰岛素30,Drug
51,虎杖,Drug
63,赖脯胰岛,Drug
91,西他列汀,Drug
93,调脂药物,Drug
97,阿替普酶,Drug
101,心痛定片,Drug
125,131碘,Drug
146,人胰升糖素样肽1,Drug
154,二肽基肽酶4(DPP-4)抑制剂,Drug
157,"1,25二羟维生素D3",Drug
160,人血白蛋白,Drug
172,GH抑制剂,Drug
185,中效胰岛素(NPH),Drug
189,非胰岛素降糖药物,Drug
208,襻利尿药,Drug
210,降糖药,Drug
216,甲状腺药物,Drug
219,培维索孟,Drug
239,左甲状腺激素钠,Drug
247,天芪胶囊,Drug
264,10%KCl,Drug
271,预混门冬胰岛素,Drug
273,GLP-1及其类似物,Drug
292,LXR激动剂,Drug
304,短期胰岛素,Drug
305,VP,Drug
314,对比剂,Drug
325,糖尿病专用型制剂,Drug
327,二肽基肽酶-郁抑制剂,Drug
330,放射性99mTc,Drug
338,HDAC3抑制剂,Drug
359,清肝泻心汤,Drug
394,新型长效GLP-1受体激动剂,Drug
402,重组IL-1RA,Drug
439,餐前胰岛素,Drug
440,噻嗪类(+速尿类,Drug
446,"1,25-二羟维生素D3",Drug
455,蛋白酶抑制剂,Drug
464,熊去氧胆酸利胆,Drug
466,预混赖脯胰岛素,Drug
478,短效磺脲类,Drug
481,吲哚美辛,Drug
488,噻嗪类或袢利尿剂,Drug
491,匹格列酮,Drug
510,TKIs,Drug
535,TZD,Drug
547,左甲状腺素,Drug
549,达利珠单抗+MMF+他克莫司,Drug
558,"二肽基肽酶4(dipeptidylpeptidase4,DPP-4)抑制剂",Drug
581,长效胰岛素类似物,Drug
588,法莫替丁,Drug
596,(GLP-1)类似物,Drug
606,石韦散,Drug
628,二氮嗪,Drug
631,GLP1-RA,Drug
635,GLP一1RA,Drug
648,铁鳌合剂1-N-二十二烷基三乙烯三胺,Drug
658,舒洛地昔,Drug
670,碳酸氢钠,Drug
674,普通剂型磺脲类促泌剂,Drug
694,(立普妥),Drug
698,赖诺普利,Drug
702,环磷酰胺,Drug
706,抗癫痫药,Drug
710,"胰升糖素样肽-1(glucagons-likepeptide-1,GLP-1)受体激动剂",Drug
715,微量元素,Drug
723,胰升糖素样肽1(GLP-1)类似物,Drug
731,中、长效制剂,Drug
741,沙格列汀SAVOR-TIMI53,Drug
747,厄贝沙坦,Drug
749,阿折地平,Drug
761,赛庚啶,Drug
769,重组人GH,Drug
773,瑞格列奈盐酸二甲双胍模拟片,Drug
814,格列奇特,Drug
815,外源性性激素,Drug
817,钾通道开放剂,Drug
824,干姜,Drug
841,口服避孕药,Drug
851,右旋甲状腺素,Drug
852,COX一2抑制剂,Drug
853,度洛西汀,Drug
854,化浊解毒方,Drug
858,万古霉素,Drug
869,雷米普利,Drug
871,替考拉宁,Drug
875,胰岛素组,Drug
881,ATDs,Drug
890,达利珠单抗+他克莫司+MMF或激素+他克莫司+MMF,Drug
900,钠-葡萄糖协同转运蛋白2,Drug
911,雌、孕激素,Drug
916,依托考昔,Drug
950,UC-MSCs,Drug
957,前列腺素合成酶抑制剂,Drug
962,大黄,Drug
963,短效制剂和中、长效制剂,Drug
965,非胰岛素促泌剂,Drug
968,环丙氯地孕酮,Drug
978,BIAsp,Drug
985,诺和锐30,Drug
988,拜阿司匹林,Drug
1019,阿仑膦酸钠片,Drug
1026,α-硫辛酸,Drug
1034,Lorcaserin,Drug
1056,血管紧张素2拮抗剂,Drug
1058,MS-275,Drug
1061,维生素D制剂,Drug
1067,sCT,Drug
1068,安康信,Drug
1071,口服降糖,Drug
1077,胰岛素泵,Drug
1079,SGLT一2抑制剂,Drug
1099,甘草,Drug
1102,红花,Drug
1107,磺脲药,Drug
1118,1esinurad,Drug
1126,非噻嗪类利尿剂,Drug
1129,IBTs,Drug
1137,Xa因子和Ⅱa直接抑制剂,Drug
1154,两性霉素B脂质体,Drug
1165,长效GLP-1受体激动剂,Drug
1167,他汀类药,Drug
1178,氢氯噻嗪,Drug
1181,AGI,Drug
1184,华法林,Drug
1185,格列吡嗪控释片,Drug
1187,苯妥英钠,Drug
1191,优泌乐,Drug
1196,米菲司酮,Drug
1209,薏苡仁,Drug
1219,胰岛素制剂,Drug
1229,激素+他克莫司,Drug
1243,capsaicin,Drug
1245,硒,Drug
1251,PK,Drug
1262,微生态制剂,Drug
1278,去氢骆驼蓬碱,Drug
1280,利奈唑胺,Drug
1287,干塞那肽,Drug
1299,胰升糖素样肽-1,Drug
1308,蝉蜕,Drug
1311,二甲双胍,Drug
1314,石韦,Drug
1317,选择性胆固醇吸收抑制剂,Drug
1330,人工泪液,Drug
1338,氟伐他汀,Drug
1349,PTU,Drug
1357,烟酸类,Drug
1365,赖胰岛素,Drug
1370,解热镇痛药,Drug
1373,利拉鲁肽,Drug
1374,胰岛索,Drug
1399,ACEI/ARB,Drug
1410,肿瘤坏死因子抑制剂,Drug
1412,奥氮平,Drug
1430,茯苓,Drug
1442,西格列汀TECOS,Drug
1446,抗精神病药,Drug
1450,a一葡萄糖苷酶抑制剂,Drug
1483,甲钴胺,Drug
1485,替米沙坦,Drug
1518,FABP4特异性中和抗体,Drug
1536,BMS-201038,Drug
1547,亚胺培南西司他丁,Drug
1550,肠促胰素药物,Drug
1584,柴胡,Drug
1585,分子靶向药物,Drug
1586,口服药物,Drug
1606,依帕司他,Drug
1625,护肝药,Drug
1631,白细胞介素(IL)-1β拮抗剂,Drug
1638,非二氢吡啶类钙通道阻滞剂,Drug
1648,SC-514,Drug
1654,速效,Drug
1669,抗凝血药,Drug
1676,抗抑郁焦虑药物,Drug
1677,格列奈,Drug
1678,阿托伐他汀,Drug
1680,PGZ,Drug
1693,帕米膦酸钠,Drug
1702,艾塞那肽(周制剂),Drug
1713,津力达颗粒,Drug
1719,秦艽,Drug
1721,黄芪,Drug
1723,血管紧张素2受体拮抗剂类药物,Drug
1728,1%的STZ溶液,Drug
1736,烟碱酸,Drug
1739,甲状旁腺激素,Drug
1741,促进尿酸排泄,Drug
1742,左甲状腺素钠片,Drug
1746,丙戊酸钠,Drug
1754,人参皂苷Re,Drug
1767,拜新同,Drug
1778,预混人胰岛素,Drug
1792,外源性胰岛素,Drug
1805,强的松,Drug
1819,抗CD25单克隆抗体,Drug
1851,抑制尿酸生成药物,Drug
1859,HMG,Drug
1860,Harmine,Drug
1885,泌尿系统肿瘤药物,Drug
1897,绿茶提取物,Drug
1908,雌激素类,Drug
1910,抗抑郁药,Drug
1919,重组人胰岛N,Drug
1921,莱菔硫烷,Drug
1942,普伐他汀,Drug
1955,长效口服降糖药物,Drug
1957,呋塞米,Drug
1962,甲状腺素片,Drug
1965,扑热息痛,Drug
1967,sulforaphane,Drug
1974,多烯类抗真菌药,Drug
1981,洋地黄制剂,Drug
1985,Ex(9-39),Drug
2017,人参,Drug
2020,罗格列酮钠片,Drug
2037,"阿格列}T,N沙格列汀",Drug
2046,甘舒霖,Drug
2051,FC-irisin,Drug
2058,尿酸酶特异阻断剂Oxonate,Drug
2061,伏格列波糖,Drug
2068,活性维生素D3,Drug
2069,妥拉磺脲,Drug
2075,0l一糖苷酶抑制剂,Drug
2076,BM-MSCs,Drug
2104,中效胰岛素,Drug
2112,GLP-1抑制剂,Drug
2118,戊巴比妥钠,Drug
2125,坎地沙坦,Drug
2129,HIF-1α抑制剂,Drug
2136,葡萄糖苷酶抑制剂类,Drug
2145,选择性Y5受体拮抗剂,Drug
2159,甲氨蝶呤,Drug
2161,SGLT-2i,Drug
2167,抗忧郁药物,Drug
2171,格列吡嗪控释剂,Drug
2173,左旋甲状腺素钠,Drug
2187,米格列奈,Drug
2197,硫酸氢氯吡格雷,Drug
2207,δ双激动剂,Drug
2211,LA-IA,Drug
2223,利司那肽ELIXA,Drug
2239,GABAA型受体拮抗剂,Drug
2247,格列酮类,Drug
2248,GTP,Drug
2253,非磺脲类,Drug
2255,伊匹单克隆抗体,Drug
2262,坎格列净,Drug
2263,叶酸,Drug
2270,IL-1β拮抗剂,Drug
2271,螺内酯,Drug
2274,弥可保,Drug
2285,新型三唑类药物,Drug
2291,革薜,Drug
2314,BIAsp70,Drug
2329,肠促胰素模拟剂,Drug
2358,SF,Drug
2361,利那鲁肽,Drug
2363,索拉非尼,Drug
2368,土茯苓,Drug
2370,99mTc,Drug
2378,盐酸沙格雷酯,Drug
2389,地塞米松,Drug
2391,苯唑西林,Drug
2395,Rilpivirine,Drug
2424,文迪雅,Drug
2425,醋酸曲安奈德,Drug
2436,IL一1受体拮抗剂,Drug
2438,吡格列酮PROactive,Drug
2446,PGE2合成酶抑制剂,Drug
2447,血管活性药物,Drug
2448,SUs,Drug
2458,缓释片或胶囊,Drug
2466,穿虎痛风合剂,Drug
2470,外源性降铁药,Drug
2487,胰升糖素样肽-1类似物,Drug
2490,抗菌药物,Drug
2504,太罗片,Drug
2536,性激素,Drug
2548,精蛋白锌重组人胰岛素(中效),Drug
2566,d.糖苷酶抑制剂,Drug
2593,抑制嘌呤合成类药物,Drug
