ent_id,ent_name,category
5,展服一次,Frequency
57,一天一次,Frequency
58,每日2次或3次,Frequency
70,每天1次,Frequency
94,每天5次,Frequency
102,周脉冲治疗,Frequency
143,bid,Frequency
593,1/d,Frequency
663,隔日1次,Frequency
819,每日1~3次,Frequency
880,1次/d,Frequency
885,缺血前1min,Frequency
908,每月,Frequency
991,每日服药1次,Frequency
1168,每日一次或二次,Frequency
1318,持续性,Frequency
1376,1天2次,Frequency
1508,每日注射1次或2次,Frequency
1552,分2~3次服用,Frequency
1674,每日两次,Frequency
1751,4次/d,Frequency
1775,qd,Frequency
1978,2次/d,Frequency
2103,每天服用2次,Frequency
2140,一日2次,Frequency
2325,3次/d,Frequency
2357,每年1次,Frequency
2410,间歇性,Frequency
2435,每6h,Frequency
2543,每半月或每月给药一次,Frequency
2645,每天3次,Frequency
2647,分2~3次,Frequency
2856,q8h,Frequency
3216,每天注射1次,Frequency
3259,2~3次服,Frequency
3564,睡前1次,Frequency
3583,2次/天,Frequency
3591,一日多次,Frequency
3647,4~6次,Frequency
3655,连续10—20d为1个疗程,Frequency
3732,Tid,Frequency
3737,强化治疗,Frequency
3746,每天给药1次,Frequency
4296,每日2针,Frequency
4454,1日2次以上,Frequency
4673,每周,Frequency
4814,每周1次,Frequency
5000,分2~3,Frequency
5254,每日,Frequency
5327,q,Frequency
5373,每日给药1~2次,Frequency
5832,每日3次,Frequency
5841,早中晚餐前,Frequency
6266,每3~5天,Frequency
6399,每3天,Frequency
6447,每4h,Frequency
6473,48~721J\B,Frequency
6519,每日1~2次,Frequency
6701,每天只需服用1次,Frequency
6900,"间隔2周,共输2次",Frequency
7009,每日或隔日,Frequency
7126,1次/天,Frequency
7394,1~3次,Frequency
7453,1天1次,Frequency
7652,隔日冲击,Frequency
7949,1日4次,Frequency
8174,每日4次,Frequency
8178,每天早晚,Frequency
8205,1日1次,Frequency
8296,每日2~3次,Frequency
8498,1~3,Frequency
8520,每2h,Frequency
8545,每曰1次,Frequency
8809,qod,Frequency
9174,1日2次,Frequency
9301,每2周,Frequency
9326,1天3次,Frequency
9494,长期应用,Frequency
9548,5次/d,Frequency
9916,1~3次/d,Frequency
9972,每日注射1次,Frequency
10100,每天2次,Frequency
10188,每日2次转为3次,Frequency
10263,1日2次或3次,Frequency
10466,每周一次,Frequency
10491,每目1次,Frequency
10613,1日3次,Frequency
10659,qw,Frequency
10791,3/d,Frequency
10799,Qd,Frequency
10958,每天注射两次,Frequency
11172,一日两次,Frequency
11429,tid,Frequency
11517,每日2片,Frequency
11638,每日1次(qd),Frequency
11734,小量多次,Frequency
11742,每1~2周调整一次,Frequency
11852,每1~2周,Frequency
11899,qN,Frequency
12133,2/d,Frequency
12285,每天注射2或3次,Frequency
12314,前2周,Frequency
12623,每天服用1次,Frequency
12655,每天一次,Frequency
12663,每日多次,Frequency
12946,每天注射3~4次,Frequency
13115,每日一次,Frequency
13402,1-2-3次,Frequency
13469,每日1次或2次,Frequency
13519,1天1次或2次,Frequency
13547,48~72/Jqt,Frequency
13757,每日2、3次,Frequency
13765,每日2次,Frequency
13885,2~3次,Frequency
14109,1日多次,Frequency
14236,每日单次服药,Frequency
14357,1d给药1次,Frequency
14535,每日1次,Frequency
14589,每晚1次,Frequency
14617,睡前一次,Frequency
14763,日3~4次,Frequency
14833,每天,Frequency
15000,q12h,Frequency
15024,每天服用3次,Frequency
15040,各1次,Frequency
15058,每日三次,Frequency
15168,每日≤3次,Frequency
15244,每4~6h一次,Frequency
15422,单次,Frequency
15445,每周调整1~2次,Frequency
15456,3~5次,Frequency
15657,每年一次,Frequency
