ent_id,ent_name,category
557,病程长,Level
1169,中或重度,Level
1551,发病年龄较大,Level
1583,进展期,Level
2080,妊娠中期,Level
2413,控制不佳,Level
3207,重构期,Level
3351,高强度,Level
3527,4期,Level
3597,极高危,Level
4009,1,Level
4135,改善肌无力和肌震颤,Level
4972,肾功能进展,Level
5603,降低血糖,Level
5969,重,Level
6056,中度,Level
6125,持续,Level
6236,病程较长,Level
7098,收缩压减低,Level
7448,2,Level
7681,改善易怒、情绪不稳定和运动不耐受,Level
8289,严重度,Level
8547,起病缓慢,Level
8597,轻度,Level
8664,亚临床,Level
8915,正常糖耐量,Level
9877,急性期,Level
10316,3、4期,Level
10520,急性发作,Level
10644,正常白蛋白尿期,Level
10663,急性发作期,Level
10755,轻中度,Level
10884,体重降低,Level
10937,微量,Level
11129,痛风频繁发作,Level
11183,4,Level
11199,合并心血管高危因素,Level
11201,降尿酸,Level
11430,蜜月期,Level
11536,减少蛋白尿,Level
12215,活动度,Level
12555,小截肢,Level
13406,1~4期,Level
13420,重度肥胖,Level
13671,早期,Level
13833,症状不明显,Level
14148,l~3期,Level
15068,严重程度,Level
15773,起病急,Level
