ent_id,ent_name,category
55,最后一顿饭4h后,Method
120,紧邻餐前或餐后立即给药,Method
243,餐后立即注射,Method
456,白天皮下注射,Method
458,餐前皮下注射,Method
518,微量泵静脉滴注,Method
532,非肠道用药,Method
537,持续泵注,Method
570,餐食,Method
909,睡前,Method
932,尿道内注射,Method
1008,尿道内,Method
1029,早餐后30min,Method
1148,中餐注射,Method
1151,胰岛素笔,Method
1155,亲水性羟丙甲纤维素为基质的缓释技术,Method
1199,序贯治疗,Method
1218,睡前注射,Method
1273,餐前,Method
1344,主餐/早餐前,Method
1451,联合应用,Method
1473,皮下,Method
1611,晚餐前注射,Method
1681,24h内持续静脉输注,Method
1705,餐时,Method
1759,联合使用,Method
1760,缓慢输注,Method
1780,皮下输注,Method
1891,早餐前30~60min,Method
2109,餐前即刻注射,Method
2117,联合肌注,Method
2251,早餐前60min,Method
2366,经皮下注射,Method
2377,持续皮下,Method
2455,早餐前30~60min服药,Method
2459,冲击治疗,Method
2695,皮下泵入,Method
2702,减量,Method
2761,单用,Method
2808,海绵体内,Method
2963,基础一餐时,Method
2966,持续静脉滴注,Method
3215,晚餐后4h,Method
3305,术后,Method
3309,静脉高压注射,Method
3424,肠道用药,Method
3561,单药,Method
3812,基础联合餐时,Method
3830,物化,Method
3918,联用,Method
3936,早、晚餐前30min,Method
3997,静脉持续输注,Method
3999,早晚,Method
4016,注射,Method
4059,关节腔内注射,Method
4083,全身,Method
4087,多个联用,Method
4096,连续皮下,Method
4169,晚间睡前服用,Method
4228,基础+三餐前,Method
4299,分二次餐时或餐后服用,Method
4302,餐后立即服用,Method
4382,基础及餐时,Method
4426,早餐前,Method
4580,一天三餐前,Method
4634,最后一顿饭后2h内,Method
4664,三餐嚼服,Method
4680,多次皮下注射,Method
4760,静脉滴注,Method
4763,进餐时,Method
4788,短期一天多次,Method
4821,基础,Method
4904,静脉使用,Method
4924,减量慎用,Method
4974,舌下含服,Method
5150,术中,Method
5242,睡前口服,Method
5286,早餐后20min,Method
5470,胃肠外,Method
5520,餐前30~60min服药,Method
5551,静注,Method
5618,持续皮下输注,Method
5700,早餐前60min服药,Method
5747,餐后2h,Method
5755,腹腔麻醉,Method
5824,静脉途径,Method
6026,两药分开时间服用,Method
6164,连续治疗,Method
6242,禁用,Method
6375,晚睡前服用,Method
6456,静脉冲击,Method
6478,每日多次注射,Method
6479,球后注射,Method
6523,早期终止,Method
6579,特殊的胃肠道治疗系统(GITS)技术,Method
6749,静脉给药,Method
6862,联合治疗,Method
6888,激素冲击,Method
6921,三联治疗,Method
6968,持续静脉点滴,Method
7032,三餐前,Method
7123,维持,Method
7427,合用,Method
7521,口服,Method
7734,静脉应用,Method
7735,夜间,Method
8007,晚饭后4h以上,Method
8216,晚间注射,Method
8256,早晚餐前,Method
8343,静点,Method
8446,剂量逐渐增,Method
8482,基础-三餐前,Method
8489,泵,Method
8658,iv.drip,Method
8680,过度减量,Method
8766,联合,Method
8830,胰岛素注射,Method
8837,静脉泵注,Method
8895,逐步加量,Method
8896,不进餐不用药,Method
8950,晨服,Method
8952,单独使用,Method
8973,单药治疗,Method
8978,关节内注射,Method
8991,餐前即刻,Method
9006,腹腔内灌注,Method
9114,皮下持续脉冲输注,Method
9496,餐前30min注射,Method
9509,间断使用,Method
9550,静脉泵速,Method
9557,静脉输注,Method
9639,持续泵入,Method
9652,泵注,Method
9653,静脉冲击治疗,Method
9655,双泵,Method
9693,脉冲输注,Method
9796,停用,Method
9956,临睡前晚饭后4h空腹服药,Method
10168,口服/静脉,Method
10174,肌肉注射,Method
10250,1日多次注射,Method
10258,泵入,Method
10441,全身性给药,Method
10472,腹腔注射,Method
10726,早餐前及晚餐前注射,Method
10780,联合用药,Method
10788,晚餐时,Method
10862,晚间睡前,Method
10865,多次,Method
10950,3.静脉输注,Method
10986,餐前或餐后,Method
11059,连续输注,Method
11079,随餐服用,Method
11187,静脉给胰岛素,Method
11208,餐前即刻皮下注射,Method
11209,眶周注射,Method
11409,冲击,Method
11526,基础-餐时模式,Method
11538,早餐后服用,Method
11579,持续静脉输注,Method
11624,全身性用药,Method
11805,提前半小时餐前注射,Method
11972,3~4:1,Method
11973,脑室内注射,Method
11983,连续,Method
11992,午餐前,Method
12041,羊膜腔滴注,Method
12046,胃肠控释系统,Method
12062,尾静脉注射,Method
12295,灌胃,Method
12367,进餐时或餐后立即服用,Method
12409,静脉,Method
12614,餐前0~15min内或餐后立即给药,Method
12646,结膜下注射,Method
12715,晚睡前,Method
12806,餐后注射,Method
12940,腹腔注射麻醉,Method
12941,餐前15min,Method
13073,冲击疗法,Method
13106,餐后,Method
13159,早晨空腹服用,Method
13231,注射给药,Method
13357,其他药物的服用时间间隔4h以上,Method
13381,基础+餐时,Method
13405,早午晚三餐前注射,Method
13495,输注,Method
13605,持续静脉泵注,Method
13748,静脉推注,Method
13865,三餐前注射,Method
13882,腹腔推注,Method
13960,减量使用,Method
13982,皮下注射,Method
13984,2次餐时或餐后服用),Method
14016,晚餐后,Method
14131,po,Method
14361,脉冲,Method
14522,晚餐前,Method
14525,腹腔内注射,Method
14540,静脉注射,Method
14616,预混,Method
14683,餐前30min皮下注射,Method
14929,持续皮下注射,Method
14986,小剂量开始,Method
15082,单次或间断静脉推注,Method
15099,早上一次顿服,Method
15356,餐后立即,Method
15385,腹腔隔日注射,Method
15509,餐前服用,Method
15552,清晨,Method
15578,静滴,Method
15580,睡前和三餐前,Method
15733,持续静脉泵注胰岛素,Method
15752,主餐/早餐,Method
