ent_id,ent_name,category
21,高凝状态,Reason
45,酗酒,Reason
116,TNF-α,Reason
145,Angptl2,Reason
167,肾小球高滤过,Reason
217,YKL-40水平,Reason
225,血压,Reason
310,LC,Reason
313,β-arrestin2缺失,Reason
328,血清胆固醇水平,Reason
344,血糖长期慢性波动,Reason
397,坏死,Reason
417,低睾酮水平,Reason
445,低促性腺激素性性腺功能减退症,Reason
453,膳食GL,Reason
500,YKL-40,Reason
571,遗传易感性,Reason
598,血浆胆固醇水平,Reason
695,皮质醇分泌肿瘤,Reason
825,ESR,Reason
836,Klinefelter综合征,Reason
933,ERS,Reason
949,慢性低度炎症,Reason
1050,尿酸性肾结石,Reason
1085,胰岛素分泌不足,Reason
1139,甲状腺功能紊乱,Reason
1333,骨微结构破坏,Reason
1355,白蛋白水平降低,Reason
1380,微循环功能障碍,Reason
1656,血糖过高,Reason
1804,白细胞介素-6,Reason
1997,骨量减少,Reason
2128,低体重,Reason
2252,血管内皮功能障碍,Reason
2326,胆固醇的代谢,Reason
2502,排泄尿酸过多,Reason
2510,溃疡复发,Reason
2559,钙代谢紊乱,Reason
2585,雌二醇水平升高,Reason
2587,β细胞功能减退,Reason
2640,AHSG,Reason
2793,性腺功能减退,Reason
2823,自身免疫反应,Reason
2835,微钙化,Reason
2854,血清高ANGPTL2水平,Reason
2960,GGT、ALT水平升高,Reason
2984,内脏脂肪沉积,Reason
3075,淋巴细胞性垂体炎,Reason
3162,器官特异性自身免疫性疾病,Reason
3196,胰腺纤维化,Reason
3238,厌氧菌,Reason
3339,性激素的差异,Reason
3344,胰岛β细胞功能减退,Reason
3389,SNPs,Reason
3419,噻嗪类,Reason
3551,骨强度降低,Reason
3664,间质纤维化,Reason
3681,肠道细菌,Reason
3708,胆固醇代谢,Reason
3744,PLR,Reason
3752,牵拉性视网膜脱离,Reason
3818,炎性介质,Reason
3900,高雄激素,Reason
4040,晚期糖基化终末产物,Reason
4067,肝脏脂肪变性,Reason
4070,吸烟,Reason
4242,脆性增加,Reason
4264,血管损伤,Reason
4304,骨密度降低,Reason
4335,抗凝治疗,Reason
4352,周围动脉病变,Reason
4469,雌二醇水平增高,Reason
4489,胰岛β细胞受损,Reason
4698,RBP4,Reason
4729,大钙化,Reason
4771,肝脏脂肪沉积,Reason
4777,慢性炎症反应,Reason
4826,高血尿酸,Reason
4856,TC≥5.72mmol/L,Reason
4869,高皮质醇状态,Reason
4870,内皮细胞功能障碍,Reason
4903,胆固醇合成抑制剂,Reason
4926,抗甲状腺功能亢进症药物,Reason
4965,冠脉病变积分,Reason
4988,缺氧,Reason
5010,金黄色葡萄球菌,Reason
5151,全身胰岛素抵抗,Reason
5172,ANGPTL4的过表达,Reason
5324,慢性间质性肾炎,Reason
5408,低血尿酸水平,Reason
5440,梗死,Reason
5454,骨脆性增加,Reason
5483,微血管病变,Reason
5498,慢性血糖波动,Reason
5545,雌激素信号通路,Reason
5556,运动干预,Reason
5641,骨破坏的降低,Reason
5651,心血管危险因素,Reason
5654,胰岛素抵抗,Reason
5668,IREI,Reason
5696,高雌二醇水平,Reason
5705,超敏CRP,Reason
5817,衰弱,Reason
5975,脂毒性,Reason
6045,肝酶水平的升高,Reason
6251,高血脂,Reason
6272,糖脂代谢紊乱,Reason
6311,内环境紊乱,Reason
6455,内分泌代谢紊乱,Reason
6462,生后早期营养过度,Reason
6585,胰岛素分泌指数,Reason
6736,餐后血糖的剧烈波动,Reason
6740,移植物失功,Reason
6795,向心性肥胖,Reason
6840,β细胞功能衰竭,Reason
6867,内皮功能障碍,Reason
6881,大小,Reason
6955,糖基化产物,Reason
6956,炎症状态,Reason
7079,睾酮/FT水平,Reason
7155,餐后或负荷后波动性高血糖,Reason
7256,GGT水平的升高,Reason
7337,横纹肌溶解,Reason
7657,出生后早期过度喂养,Reason
7840,心血管代谢危险因素,Reason
7986,术前血糖水平,Reason
8080,卵巢功能减退,Reason
8091,内皮功能紊乱,Reason
8375,波动性高血糖,Reason
8429,Bip,Reason
8529,β细胞功能障碍,Reason
8623,雌二醇的促动脉粥样硬化作用,Reason
8624,胰岛素分泌缺陷,Reason
8675,炎症标志物,Reason
8734,肾小球系膜细胞增殖,Reason
8791,肾小管间质纤维化,Reason
8797,药物,Reason
8985,胰岛素分泌受损,Reason
9002,ANGPTL4缺失,Reason
9273,饮食胆固醇含量,Reason
9314,胰岛β细胞功能失调,Reason
9342,基因缺陷,Reason
9582,营养过度,Reason
9782,胰岛素敏感性下降,Reason
9791,微循环障碍,Reason
9858,脂肪沉积,Reason
9948,ANGPTL4,Reason
9966,肾脏纤维化,Reason
10057,β细胞损伤,Reason
10097,长期高血糖,Reason
10098,肥大,Reason
10118,肝脂肪变性,Reason
10126,血清ANGPTL4水平降低,Reason
10247,多囊肾,Reason
10253,毛细血管基底膜增厚,Reason
10287,"血管平滑肌细胞(vascularsmoothmusclecells,VSMCs)向成骨细胞转分化或向软骨细胞转分化",Reason
10336,肝脏脂质过度沉积,Reason
10478,血压升高,Reason
10494,遗传,Reason
10501,脂代谢,Reason
10511,下肢动脉斑块,Reason
10587,高LDL-C血症,Reason
10691,抗内皮细胞抗体,Reason
10695,肾小球病变,Reason
10730,TG≥1.70mmol/L,Reason
10824,单纯高血糖,Reason
10923,代谢性炎症,Reason
10949,肾小球基底膜增厚,Reason
10969,线粒体基因突变,Reason
10987,血清ApoM,Reason
11307,血管闭塞,Reason
11344,内质网应激,Reason
11422,低血容量,Reason
11450,高血清胆固醇水平,Reason
11623,神经营养障碍,Reason
11626,肠道菌群,Reason
11716,GH瘤,Reason
11743,血栓,Reason
11746,系膜基质增宽,Reason
11894,HCT,Reason
12491,骨组织GPER1表达降低,Reason
12724,氧化应激损伤,Reason
12790,脂质代谢紊乱,Reason
12811,衰老,Reason
12813,RAS,Reason
12843,脂肪纤维化,Reason
12859,动脉粥样斑块,Reason
13222,TG/HDL-C,Reason
13283,PERK,Reason
13503,葡萄糖负荷,Reason
13512,体力活动减少,Reason
13546,氧化应激,Reason
13701,缺血再灌注损伤,Reason
13754,肾小管离子通道,Reason
13899,ERs,Reason
14022,胆石症,Reason
14047,排卵异常,Reason
14051,基因,Reason
14054,空腹血糖变异性,Reason
14080,MPPGE,Reason
14101,出生后早期营养过度,Reason
14154,颈动脉斑块形成,Reason
14203,高血压,Reason
14210,Apo-AI,Reason
14265,左心室肥厚,Reason
14288,胰岛β细胞功能损伤,Reason
14546,颈动脉斑块,Reason
14553,钙磷代谢障碍,Reason
14647,饮食习惯,Reason
14656,高甘油三酯,Reason
14715,血小板活性升高,Reason
14751,嘌呤代谢紊乱,Reason
14881,心脏重塑,Reason
15055,Bregs缺乏,Reason
15056,血管内皮功能损伤,Reason
15121,乳头状甲状腺癌,Reason
15185,较高体重指数,Reason
15213,ORP150,Reason
15279,妊娠,Reason
15541,血管钙化,Reason
15630,血糖波动性大,Reason
