ent_id,ent_name,category
15,体重增加,SideEff
137,输液反应,SideEff
287,肝脏脂肪增加,SideEff
294,水样便,SideEff
312,摔倒性骨折,SideEff
316,深静脉血栓,SideEff
342,体重变化,SideEff
483,心悸,SideEff
646,皮疹,SideEff
659,恶性心律失常,SideEff
735,血管性水肿),SideEff
913,肌炎,SideEff
1010,一过性中性粒细胞减少症,SideEff
1011,心血管不良事件,SideEff
1052,低血糖反应,SideEff
1104,库欣综合征体征,SideEff
1108,毛发过度生长,SideEff
1160,皮肤不良反应,SideEff
1195,负性肌力作用,SideEff
1235,头痛,SideEff
1248,高T3血症,SideEff
1257,加重或加速了β细胞的衰竭,SideEff
1309,肝脏毒性,SideEff
1324,转氨酶升高,SideEff
1352,心脑肾等组织灌注不足,SideEff
1382,血管性水肿,SideEff
1418,别嘌醇超敏反应综合征,SideEff
1427,软组织水肿,SideEff
1515,对心率和情绪的影响,SideEff
1609,增重,SideEff
1707,移植后糖代谢,SideEff
1813,加重β细胞功能衰竭,SideEff
1842,中性粒细胞减少症,SideEff
1896,冠脉血运重建,SideEff
1932,发热,SideEff
1947,剂量依赖的肝肾毒性,SideEff
1989,牙龈增生,SideEff
2043,眼内压一过性升高,SideEff
2052,胃肠道不良反应,SideEff
2072,增加体重,SideEff
2077,急性心力衰竭,SideEff
2090,伴或不伴脐膨出的卵黄管未闭,SideEff
2091,头晕,SideEff
2214,不稳定型心绞痛,SideEff
2227,药物性肝损害,SideEff
2282,体重明显增加,SideEff
2294,心绞痛发作,SideEff
2376,胚胎病,SideEff
2499,交叉过敏反应,SideEff
2564,体重自基线明显减轻,SideEff
2672,甲状腺肿胀,SideEff
2748,移植后机体糖代谢状态,SideEff
2785,泌尿道感染,SideEff
2792,超敏反应,SideEff
2849,乏力不适,SideEff
2882,饱腹感明显,SideEff
2886,体重增,SideEff
2927,恶心,SideEff
2981,肌病,SideEff
2988,膀胱癌,SideEff
3078,蜕皮,SideEff
3181,眼睛异常,SideEff
3189,重增加,SideEff
3235,致死性剥脱性,SideEff
3262,移植受体糖代谢,SideEff
3277,巨幼红细胞性贫血,SideEff
3279,记忆丧失,SideEff
3294,先天性表皮发育不全,SideEff
3333,剥脱性皮炎,SideEff
3366,急性输液反应,SideEff
3403,痛阈上升,SideEff
3423,皮肤出疹,SideEff
3541,皮炎,SideEff
3623,房颤,SideEff
3759,增重效应,SideEff
3798,骨骼的影响,SideEff
3808,晚餐时或餐后立即服用,SideEff
4072,轻度体温升高,SideEff
4090,加剧交感-迷走神经的失衡,SideEff
4147,胆汁淤积性肝损伤,SideEff
4183,肌酶的升高,SideEff
4210,视神经病变,SideEff
4269,心率明显增快所致,SideEff
4274,中性粒细胞缺乏,SideEff
4362,一过性腹泻,SideEff
4370,对心血管系统的威胁,SideEff
4412,胆红素升高,SideEff
4429,肝肾功能损伤,SideEff
4475,严重低血糖,SideEff
4511,液体潴留,SideEff
4551,致命性不良反应,SideEff
4557,类库欣症状,SideEff
4587,过敏,SideEff
4708,大便次数增多,SideEff
4715,摔倒,SideEff
4719,糖、脂代谢及电解质紊乱,SideEff
4745,超敏反应综合征,SideEff
4776,心房纤维颤动,SideEff
4859,泌尿道和生殖道不良事件,SideEff
4896,粒细胞减少,SideEff
4937,肾脏钙盐沉着,SideEff
4947,一过性的腹痛,SideEff
5139,肾脏损害,SideEff
5181,体液潴留,SideEff
5277,免疫功能异常,SideEff
5283,水钠潴留症状,SideEff
5353,体重的增加,SideEff
5367,日问低血糖,SideEff
5402,心率增快,SideEff
5536,意识模糊,SideEff
5537,皮呋过敏反应,SideEff
5574,心率明显增快,SideEff
5612,多发灶脑白质病,SideEff
5707,食管闭锁,SideEff
5820,心脏植物神经功能紊乱,SideEff
5907,畏食,SideEff
5921,阴道念珠菌病,SideEff
5923,升高血糖,SideEff
5939,致糖尿病作用,SideEff
6019,流感样症状,SideEff
6063,低血糖症状,SideEff
6086,肠胃不适,SideEff
6110,中性粒细胞减少,SideEff
6130,粒细胞缺乏症,SideEff
6145,高乳酸血症,SideEff
6146,脂代谢异常,SideEff
6172,乳房胀痛,SideEff
6223,消化道反应,SideEff
