ent_id,ent_name,category
7,痴呆,Symptom
16,胰腺外分泌功能受损,Symptom
43,双眼眼睑中度水肿,Symptom
66,多囊性增大,Symptom
72,追赶生长,Symptom
73,异常高血糖,Symptom
85,甲状腺毒症症状,Symptom
87,微量蛋白尿,Symptom
123,类无睾身材,Symptom
130,乳腺增生,Symptom
132,肢体疼痛,Symptom
135,有外周血管病变与足部高危体征,Symptom
139,低骨量,Symptom
140,斑块,Symptom
149,HOMAIIR,Symptom
153,跟腱反射减弱,Symptom
155,可自行好转,Symptom
159,足跟处最明显,Symptom
162,修复后的骨隆起可导致局部压力增加,Symptom
164,足部肿胀,Symptom
178,雌激素下降,Symptom
188,传导系统异常,Symptom
195,对外源性血管加压素反应低下,Symptom
197,皮肤感染,Symptom
198,目前无溃疡,Symptom
204,上皮-间充质化,Symptom
209,反复出现发作性四肢乏力,Symptom
222,良性突眼,Symptom
226,双足背动脉搏动有力,Symptom
233,低热,Symptom
244,血糖降低,Symptom
256,无肌痉挛,Symptom
262,直立性低血压,Symptom
276,注意力和额叶执行功能受损,Symptom
319,震动觉的减弱,Symptom
322,皮肤破溃,Symptom
331,患者全身情况包括糖代谢稳定,Symptom
339,血糖高,Symptom
348,行动迟缓,Symptom
350,月经周期规律,Symptom
356,临床高代谢的症状和体征,Symptom
360,肢体肌肉无力,Symptom
393,痛,Symptom
395,妊娠反应,Symptom
411,低血钙,Symptom
413,空腹血糖升高,Symptom
420,双眼眼睑无红斑,Symptom
431,眼底出现微动脉瘤,Symptom
433,烧灼痛,Symptom
437,高促性腺激素性性腺功能减退,Symptom
438,萎缩,Symptom
447,乳房及腋毛阴毛等第二性征不发育,Symptom
469,高胰岛素,Symptom
471,肾小球滤过率降低,Symptom
493,四肢浮肿,Symptom
499,呈双凹畸形,Symptom
507,抽搐发作,Symptom
508,组织器官损害,Symptom
516,内分泌危象,Symptom
519,全身骨痛,Symptom
520,重度感染,Symptom
526,双肺呼吸音粗,Symptom
546,眼球突出,Symptom
552,认知能力的下降,Symptom
555,肥厚型心肌病变,Symptom
556,发作时伴精神淡漠,Symptom
568,发凉,Symptom
601,无再发胸痛,Symptom
618,"右足底外侧缘,有一直径为3cm,深度为5mm的溃疡",Symptom
619,青春期启动,Symptom
639,微血管痉挛,Symptom
640,末梢神经纤维减少,Symptom
641,月经不规律,Symptom
657,尚未月经初潮,Symptom
661,局部压迫症状,Symptom
681,喜静不喜动,Symptom
709,肾脏形态学异常,Symptom
712,第二性征发育明显,Symptom
726,糖代谢正常,Symptom
733,皮肤紫纹,Symptom
738,甘油三酯异常,Symptom
739,持续性复发性低血糖,Symptom
750,颈部压迫,Symptom
751,胎死宫内,Symptom
763,上述症状仍反复发作,Symptom
770,搀扶后可行走,Symptom
779,化脓,Symptom
780,肾脏缩小,Symptom
786,性格改变,Symptom
789,急性肾脏损伤,Symptom
791,系膜增宽,Symptom
792,血压下降,Symptom
801,感染局限于皮肤和皮下组织,Symptom
805,全身乏力,Symptom
809,胎儿电子监护异常,Symptom
846,缺血型梗塞,Symptom
856,无局部化脓或全身炎症征象,Symptom
860,分布基本正常,Symptom
864,眼球固定,Symptom
868,占位效应症状,Symptom
879,全身多处瘀点瘀斑,Symptom
898,初潮月经正常,Symptom
