ent_id,ent_name,category
27,植入式除颤器,Treatment
148,雌激素补充治疗,Treatment
177,间段性血液滤过,Treatment
221,引流治疗,Treatment
245,内镜下治疗,Treatment
298,高压氧,Treatment
311,清创,Treatment
353,每日限食,Treatment
358,全天单激素人工胰岛,Treatment
386,纠正低血钾和碱中毒,Treatment
441,菌群移植,Treatment
465,抗高雄激素治疗,Treatment
468,代谢性手术,Treatment
489,降压,Treatment
527,同位素碘治疗,Treatment
539,促排卵,Treatment
622,RNAi,Treatment
625,纠正失水状态,Treatment
759,降铁,Treatment
760,中药治疗,Treatment
776,T细胞靶向治疗,Treatment
799,限制饮水量,Treatment
826,限食疗法,Treatment
857,单纯有氧或抗阻力运动,Treatment
888,ACEshRNA,Treatment
904,单激素人工胰岛,Treatment
917,有氧和抗阻力运动,Treatment
1117,单侧眼眶照射治疗,Treatment
1130,脐带间充质干细胞联合治疗,Treatment
1144,营养心肌,Treatment
1164,免疫治疗,Treatment
1204,合理调整胰岛素用量,Treatment
1270,扩冠,Treatment
1293,抗氧化治疗,Treatment
1321,冲击波碎石,Treatment
1340,影像学引导下的热烧蚀,Treatment
1359,细胞替代治疗,Treatment
1393,干细胞治疗,Treatment
1397,透析治疗,Treatment
1401,能量限制,Treatment
1480,131I治疗,Treatment
1491,严密的血糖监测,Treatment
1501,双激素人工胰岛,Treatment
1510,显微睾丸精子抽提术,Treatment
1590,脉冲式GnRH生精治疗,Treatment
1632,GnRH脉冲输注,Treatment
1709,人工授精,Treatment
1722,纠正电解质紊乱,Treatment
1772,人工周期治疗,Treatment
1793,抗血小板,Treatment
1821,导尿,Treatment
1822,CSII,Treatment
1845,绝经相关激素治疗,Treatment
1868,TSH深度抑制,Treatment
1949,防治并发症,Treatment
1977,肠外营养,Treatment
1979,严格限食,Treatment
1990,运动,Treatment
1991,骨保护,Treatment
1992,131I清甲治疗,Treatment
2102,HRT,Treatment
2122,隔日限食,Treatment
2127,激素反馈治疗,Treatment
2138,彻底清创,Treatment
2242,50%高蛋白饮食限食,Treatment
2243,脐带间充质干细胞移植,Treatment
2290,内科免疫治疗,Treatment
2301,腹膜透析,Treatment
2421,纠正贫血,Treatment
2451,抗氧化应激,Treatment
2452,减重治疗,Treatment
2460,根管治疗,Treatment
2505,高能量限制饮食,Treatment
2532,眼眶照射,Treatment
2606,配镜治疗,Treatment
2616,抗细胞因子治疗,Treatment
2637,低GL膳食,Treatment
2709,碘治疗,Treatment
2756,高流量透析膜,Treatment
2821,CPAP,Treatment
2867,大剂量冲击治疗,Treatment
2888,补液治疗,Treatment
2920,性激素替代治疗,Treatment
2926,骨髓MSCs移植治疗,Treatment
3020,靶向抑制ACE表达的小干扰RNA,Treatment
3100,放射性碘(131I)治疗,Treatment
3131,血浆置换,Treatment
3258,25%热量限制,Treatment
3449,加压,Treatment
3514,胰岛干细胞移植,Treatment
3567,机械通气,Treatment
