from,to,rel
小剂量,链脲佐菌素,Amount_Drug
50mg/kg,STZ,Amount_Drug
50mg/kg,链脲佐菌素,Amount_Drug
30mg/kg,1%戊巴比妥钠,Amount_Drug
50mg/kg,1%戊巴比妥钠,Amount_Drug
小剂量,格列美脲,Amount_Drug
每日1mg,格列美脲,Amount_Drug
小剂量,那格列奈,Amount_Drug
60nlg,那格列奈,Amount_Drug
较大剂量,同位素(11mGi),Amount_Drug
40mg,安特尔,Amount_Drug
10mg,赛治,Amount_Drug
40mg,睾酮制剂,Amount_Drug
1.2mg,利拉鲁肽,Amount_Drug
1.8mg,利拉鲁肽,Amount_Drug
每次2g,左卡尼汀,Amount_Drug
"500mg/d,×7d",二甲双胍,Amount_Drug
每周增加500mg/d,二甲双胍,Amount_Drug
2000mg/d,二甲双胍,Amount_Drug
0.25~0.5U/kg起,基础胰岛素,Amount_Drug
最高至1.2U/kg,胰岛素,Amount_Drug
30%~50%,胰岛素,Amount_Drug
0.25μgbid,罗盖全,Amount_Drug
600mg,钙尔奇D,Amount_Drug
1.8mg,西格列汀,Amount_Drug
1.8mg,Lira-DPP-4i,Amount_Drug
80μg,hFC,Amount_Drug
80μg,Irisin-FC,Amount_Drug
80μg,FC-irisin,Amount_Drug
高强度,β-肾上腺能受体激动剂,Amount_Drug
30mg/kg,STZ,Amount_Drug
每日80mg,阿托伐他汀,Amount_Drug
40mg,普伐他汀,Amount_Drug
10mg,阿托伐他汀,Amount_Drug
每日40mg,普伐他汀,Amount_Drug
40~80mg,阿托伐他汀,Amount_Drug
20~40mg,瑞舒伐他汀,Amount_Drug
小剂量,胰岛素,Amount_Drug
1U/h,岛素,Amount_Drug
大量,葡萄糖,Amount_Drug
0.1U/kg,胰岛素,Amount_Drug
0.14U/kg,胰岛素,Amount_Drug
0.02~0.05U·kg-1·h-1,胰岛素,Amount_Drug
0.4~0.8单位/千克体重,胰岛素,Amount_Drug
12~18单位,胰岛素,Amount_Drug
0.4~0.5单位/千克体重,胰岛素,Amount_Drug
0.4~0.5单位仟克体重,胰岛素,Amount_Drug
O.5~1.oe.f蓟千克体重,胰岛素,Amount_Drug
1~4个单位,胰岛素,Amount_Drug
50单位/天,预混胰岛素,Amount_Drug
0.6单位/(千克·天),胰岛素,Amount_Drug
O.1~0.3单位/千克体重,胰岛素,Amount_Drug
0.2~0.3单位/千克体重,胰岛素,Amount_Drug
0.5单位/千克体重,长效胰岛素类似物,Amount_Drug
2.5~30,中效胰岛素(NPH),Amount_Drug
3.0~4.0,长效胰岛素(PZI),Amount_Drug
"2.0~3,0",甘精胰岛素,Amount_Drug
2~6单位,胰岛素,Amount_Drug
4~6单位,胰岛素,Amount_Drug
1~2单位,胰岛素,Amount_Drug
0.3~0.5单位/千克体重,胰岛素,Amount_Drug
1~4单位,胰岛素,Amount_Drug
1~2单,胰岛素,Amount_Drug
0.2~0.4单位/千克体重,预混胰岛素,Amount_Drug
10~12单位/天,预混胰岛素,Amount_Drug
2~4单位,胰岛素,Amount_Drug
10~12单位,中预混制剂,Amount_Drug
3~6单位,中预混制剂,Amount_Drug
3单位,中预混制剂,Amount_Drug
2~3单位,胰岛素,Amount_Drug
O.2单位/千克体重,口服降糖药,Amount_Drug
3单位,预混胰岛素类似物,Amount_Drug
5mg,甲巯咪唑,Amount_Drug
25μg,左旋甲状腺素钠,Amount_Drug
2.25,甲泼尼松龙,Amount_Drug
4.98,甲泼尼松龙,Amount_Drug
7.47g,甲泼尼松龙,Amount_Drug
大剂量,甲泼尼松龙,Amount_Drug
中等剂量,甲泼尼松龙,Amount_Drug
4.5g,甲泼尼松龙,Amount_Drug
10~24g,甲泼尼松龙,Amount_Drug
8g,甲泼尼松龙,Amount_Drug
高剂量,利妥昔单抗,Amount_Drug
低剂量,利妥昔单抗,Amount_Drug
大剂量,糖皮质激素,Amount_Drug
平均日剂量≥5mg,泼尼松,Amount_Drug
500mg,甲泼尼松龙,Amount_Drug
250mg,甲泼尼松龙,Amount_Drug
5mg/d,强的松片,Amount_Drug
25U,ACTH,Amount_Drug
5mg/d,强的松,Amount_Drug
100mg/d,氢化可的松,Amount_Drug
15mg/d,强的松,Amount_Drug
7.5mg/d,强的松,Amount_Drug
20mg,氢化可的松,Amount_Drug
0.30mg/kg,氢化可的松,Amount_Drug
25mg,醋酸可的松,Amount_Drug
0.35mg/kg,醋酸可的松,Amount_Drug
4mg,培哚普利,Amount_Drug
1.25mg,吲达帕胺,Amount_Drug
12.5~25mg/d,氢氯噻嗪,Amount_Drug
12.5~25mg/d,利尿剂,Amount_Drug
75~100mg/d,阿司匹林,Amount_Drug
0.2·kg-1·d-1,胰岛素,Amount_Drug
每日用量40u以上,胰岛素,Amount_Drug
≤50mg/d,苯溴马隆,Amount_Drug
50~75mg,硫酸氢氯吡格雷,Amount_Drug
50—100mg,西洛他唑,Amount_Drug
10~40斗g/d,前列腺素E.制剂,Amount_Drug
(50~100mg,西洛他唑,Amount_Drug
100(75—150)mg(I),阿司匹林,Amount_Drug
35mg/kg,链脲佐菌素,Amount_Drug
75~150mg/d,阿司匹林,Amount_Drug
75mg/d,氯吡格雷,Amount_Drug
2.8mmol/L,葡萄糖,Amount_Drug
46U/d,胰岛素,Amount_Drug
20U/d,胰岛素,Amount_Drug
0.51U/kg,胰岛素,Amount_Drug
1.2U/kg,胰岛素,Amount_Drug
0.5~1.0g/次,高纯度鱼油,Amount_Drug
高剂量,他汀,Amount_Drug
中等剂量,他汀,Amount_Drug
0.5~1.0g/次,贝特类,Amount_Drug
40mmol/L,葡萄糖,Amount_Drug
每日40mg,甲强龙,Amount_Drug
40mg/d,甲强龙,Amount_Drug
微量,谷氨酸,Amount_Drug
微量,CT,Amount_Drug
20nmol/L,sCT,Amount_Drug
100μmol/L,Che,Amount_Drug
微量,sCT,Amount_Drug
200μg/kg,利拉鲁肽,Amount_Drug
100μg/kg,Exendin,Amount_Drug
200μg/kg,生理盐水,Amount_Drug
40mg/kg,1%戊巴比妥钠,Amount_Drug
3ng/h,骨钙素,Amount_Drug
大于0.5U/kg,基础胰岛素,Amount_Drug
78.5±39.5,胰岛素,Amount_Drug
51.3±26.7)U/d,胰岛素,Amount_Drug
0.3U/kg,胰岛素,Amount_Drug
500μIU/ml,胰岛素,Amount_Drug
5μIU/ml,胰岛素,Amount_Drug
50mg/d,维格列汀,Amount_Drug
100mg/d,维格列汀,Amount_Drug
150μg/d,L-T4,Amount_Drug
2~5g,两性霉素B,Amount_Drug
低、中、高剂量,白藜芦醇,Amount_Drug
高剂量,白藜芦醇,Amount_Drug
中剂量,白藜芦醇,Amount_Drug
低剂量,白藜芦醇,Amount_Drug
低、中剂量,白藜芦醇,Amount_Drug
75g,葡萄糖,Amount_Drug
30~120mg/d,格列喹酮,Amount_Drug
112mg/d,格列喹酮,Amount_Drug
270mg/d,格列喹酮,Amount_Drug
15~180mg/d,格列喹酮,Amount_Drug
90mg/d,格列喹酮,Amount_Drug
30mg,格列喹酮,Amount_Drug
180mg/d,格列喹酮,Amount_Drug
60mg,格列喹酮,Amount_Drug
25%,赖脯胰岛素,Amount_Drug
75%,精蛋白锌赖脯胰岛素,Amount_Drug
30%,门冬胰岛素,Amount_Drug
70%,精蛋白锌门冬胰岛素,Amount_Drug
50%,赖脯胰岛素,Amount_Drug
50%,精蛋白锌赖脯胰岛素),Amount_Drug
50%,门冬胰岛素,Amount_Drug
