from,to,rel
肾脏,糖尿病肾病,Anatomy_Disease
肾脏,DN,Anatomy_Disease
肾素-血管紧张素系统,DN,Anatomy_Disease
RAS,糖尿病,Anatomy_Disease
肾脏,糖尿病,Anatomy_Disease
肝脏,肾脏损伤,Anatomy_Disease
肾脏,肾脏损伤,Anatomy_Disease
肾脏,高血压,Anatomy_Disease
AGT,高血压,Anatomy_Disease
近端小管,高血压,Anatomy_Disease
mRNA,高血压,Anatomy_Disease
肝脏,高血压,Anatomy_Disease
肾脏近曲小管,高血压,Anatomy_Disease
肾,CKD,Anatomy_Disease
RAS,CKD,Anatomy_Disease
AGT,糖尿病,Anatomy_Disease
肾脏中,糖尿病,Anatomy_Disease
肾小球,糖尿病,Anatomy_Disease
肾脏血管,糖尿病,Anatomy_Disease
肾脏近曲小管,糖尿病,Anatomy_Disease
系膜细胞,糖尿病,Anatomy_Disease
p38丝裂酶原蛋白激酶(MAPK)通路,糖尿病,Anatomy_Disease
近端小管,糖尿病,Anatomy_Disease
肾脏,肾损伤,Anatomy_Disease
RAS,肾损伤,Anatomy_Disease
肾脏,2型糖尿病,Anatomy_Disease
AGT,2型糖尿病,Anatomy_Disease
RAS,2型糖尿病,Anatomy_Disease
肾脏,糖尿病肾损伤,Anatomy_Disease
RAS,糖尿病肾损伤,Anatomy_Disease
RAS,DN,Anatomy_Disease
肾小管细胞膜,糖尿病,Anatomy_Disease
血管紧张素受体,糖尿病,Anatomy_Disease
亲脂载体蛋白,肾小管损伤,Anatomy_Disease
人体血清,肾小管损伤,Anatomy_Disease
脑脊液,肾小管损伤,Anatomy_Disease
尿液,肾小管损伤,Anatomy_Disease
AGT,糖尿病肾病,Anatomy_Disease
RAS,糖尿病肾病,Anatomy_Disease
肾小管,糖尿病肾病,Anatomy_Disease
RAS,亚临床冶DN,Anatomy_Disease
肾小球,糖尿病肾病,Anatomy_Disease
RAS,肾小管损伤,Anatomy_Disease
RAS,肾小球及肾小管损伤,Anatomy_Disease
肾小球,DN,Anatomy_Disease
基底膜,DN,Anatomy_Disease
肾小球,肾脏损伤,Anatomy_Disease
肝脏,DN,Anatomy_Disease
LDL受体,DN,Anatomy_Disease
巨噬细胞清道夫受体,DN,Anatomy_Disease
唾液酸糖蛋白受体,DN,Anatomy_Disease
ASGPR,DN,Anatomy_Disease
肾,DN,Anatomy_Disease
肾小球毛细血管内皮细胞,DN,Anatomy_Disease
毛细血管,DN,Anatomy_Disease
单核细胞,DN,Anatomy_Disease
血管内皮细胞,DN,Anatomy_Disease
泡沫细胞,DN,Anatomy_Disease
泡沫细胞,动脉粥样硬化,Anatomy_Disease
血管内皮细胞,动脉粥样硬化,Anatomy_Disease
单核细胞,动脉粥样硬化,Anatomy_Disease
肾小球,动脉粥样硬化,Anatomy_Disease
细胞外基质,DN,Anatomy_Disease
肾系膜,DN,Anatomy_Disease
微血管,DN,Anatomy_Disease
血小板活化因子,DN,Anatomy_Disease
肾小球系膜细胞,DN,Anatomy_Disease
肾小球毛细血管腔,DN,Anatomy_Disease
血小板,2型糖尿病,Anatomy_Disease
心血管,2型糖尿病,Anatomy_Disease
股深动脉,糖尿病,Anatomy_Disease
胫前动脉,糖尿病,Anatomy_Disease
中小动脉,糖尿病,Anatomy_Disease
