from,to,rel
血管紧张素转换酶抑制剂,高血压,Drug_Disease
血管紧张素2受体阻断剂,高血压,Drug_Disease
ACEI,2型糖尿病,Drug_Disease
ARB,2型糖尿病,Drug_Disease
ACEI,糖尿病肾病,Drug_Disease
ARB,糖尿病肾病,Drug_Disease
肾素-血管紧张素系统抑制剂,微量白蛋白尿,Drug_Disease
血管紧张素转化酶抑制剂,高血压,Drug_Disease
RAS抑制剂,糖尿病肾病,Drug_Disease
链脲佐菌素,糖尿病,Drug_Disease
RAS抑制剂,1型糖尿病,Drug_Disease
RAS抑制剂,亚临床冶DN,Drug_Disease
ACEI,高血压,Drug_Disease
ARB,高血压,Drug_Disease
肾素-血管紧张素系统抑制剂,2型糖尿病,Drug_Disease
肾素-血管紧张素系统抑制剂,肾小球及肾小管损伤,Drug_Disease
RAS抑制剂,高血压,Drug_Disease
他汀类,临床肾病,Drug_Disease
胰岛素,临床肾病,Drug_Disease
他汀类,糖尿病,Drug_Disease
他汀类药物,糖尿病,Drug_Disease
他汀类,DN,Drug_Disease
降脂药物,DN,Drug_Disease
胰岛素,肾脏损伤,Drug_Disease
降脂药物,肾病,Drug_Disease
他汀,心血管疾病,Drug_Disease
他汀,糖尿病,Drug_Disease
贝特类药物,糖尿病,Drug_Disease
二甲双胍,2型糖尿病,Drug_Disease
胰岛素,2型糖尿病,Drug_Disease
口服降糖药物,2型糖尿病,Drug_Disease
TRAIL,糖尿病,Drug_Disease
TRAIL,动脉粥样硬化,Drug_Disease
STZ,糖尿病,Drug_Disease
别嘌呤醇,2型糖尿病,Drug_Disease
苯溴马隆,2型糖尿病,Drug_Disease
外源性性激素,DFU,Drug_Disease
ARB/ACEI类药物,糖尿病。肾病,Drug_Disease
胰岛素,糖尿病肾病,Drug_Disease
双胍类,糖尿病肾病,Drug_Disease
磺脲类,糖尿病肾病,Drug_Disease
格列奈类,糖尿病肾病,Drug_Disease
噻唑烷二酮类,糖尿病肾病,Drug_Disease
d一糖苷酶抑制剂,糖尿病肾病,Drug_Disease
二肽基肽酶Ⅳ(DPP.4)抑制剂,糖尿病肾病,Drug_Disease
胰高血糖素样肽1(GLP.1)类似物,糖尿病肾病,Drug_Disease
双胍类,2型糖尿病,Drug_Disease
胰岛素,1型,Drug_Disease
二甲双胍,l糖尿病肾病,Drug_Disease
二甲双胍,糖尿病,Drug_Disease
二甲双胍,CKD,Drug_Disease
二甲双胍,肾功能受损,Drug_Disease
格列本脲,CKD,Drug_Disease
格列美脲,CKD,Drug_Disease
格列吡嗪,CKD,Drug_Disease
格列齐特,CKD,Drug_Disease
格列喹酮,CKD,Drug_Disease
瑞格列奈,CKD,Drug_Disease
瑞格列奈,2型糖尿病,Drug_Disease
瑞格列奈,透析,Drug_Disease
那格列奈,糖尿病,Drug_Disease
那格列奈,CKD,Drug_Disease
