from,to,rel
餐前,那格列奈,Frequency_Drug
bid,安特尔,Frequency_Drug
bid,赛治,Frequency_Drug
每天2次,左卡尼汀,Frequency_Drug
1天1次,中性鱼精蛋白锌胰岛素,Frequency_Drug
1天1次,基础胰岛素,Frequency_Drug
bid,钙尔奇D,Frequency_Drug
每日2次,胰岛素,Frequency_Drug
每日多次,胰岛素,Frequency_Drug
持续,胰岛素,Frequency_Drug
每日,胰岛素,Frequency_Drug
1次,长效胰岛素,Frequency_Drug
每日1次或2次,中效胰岛素,Frequency_Drug
早中晚餐前,中效胰岛素,Frequency_Drug
每日≤3次,胰岛素,Frequency_Drug
每日≤3次,预混胰岛素,Frequency_Drug
一日多次,胰岛素,Frequency_Drug
1日2次或3次,胰岛素,Frequency_Drug
1日2次以上,胰岛素,Frequency_Drug
每目1次,胰岛素,Frequency_Drug
每日2次,预混胰岛素,Frequency_Drug
每日1次,胰岛素,Frequency_Drug
每日1~2次,预混胰岛素,Frequency_Drug
每日3次,预混胰岛素类似物,Frequency_Drug
每日3次,预混胰岛素,Frequency_Drug
早餐前,预混胰岛素,Frequency_Drug
晚餐前,预混胰岛素,Frequency_Drug
每日2次,低预混人胰岛素,Frequency_Drug
每日2次转为3次,预混胰岛素,Frequency_Drug
每日2次,低预混胰岛素,Frequency_Drug
每日3次,低预混胰岛素类似物,Frequency_Drug
每日3次,中预混胰岛素类似物,Frequency_Drug
每日1次,中预混制剂,Frequency_Drug
每日1次,预混胰岛素类似物,Frequency_Drug
每日2次或3次,预混胰岛素类似物,Frequency_Drug
胰岛素,胰岛素,Frequency_Drug
每目1次,基础,Frequency_Drug
睡前注射,基础,Frequency_Drug
每曰1次,胰岛素,Frequency_Drug
睡前,胰岛素,Frequency_Drug
餐前,胰岛素,Frequency_Drug
每日1次,预混胰岛素,Frequency_Drug
每日,预混胰岛素,Frequency_Drug
每3~5天,胰岛素,Frequency_Drug
每周,胰岛素,Frequency_Drug
每3天,胰岛素,Frequency_Drug
主餐/早餐前,胰岛素,Frequency_Drug
每周调整1~2次,胰岛素,Frequency_Drug
每日2~3次,胰岛素,Frequency_Drug
每日注射1次或2次,基础胰岛素,Frequency_Drug
每日注射1次,基础胰岛素,Frequency_Drug
晚餐前,胰岛素,Frequency_Drug
每日1次,中效胰岛素,Frequency_Drug
预混胰岛素,预混胰岛素类似物,Frequency_Drug
每日1次,口服降糖药,Frequency_Drug
晚餐前,口服降糖药,Frequency_Drug
每日2次,口服降糖药,Frequency_Drug
早餐前,胰岛素,Frequency_Drug
早晚餐前,预混胰岛素,Frequency_Drug
晚餐前,低预混胰岛素类似物,Frequency_Drug
晚餐前,中预混制剂,Frequency_Drug
午餐前,预混胰岛素类似物,Frequency_Drug
每日2次或3次,降糖药,Frequency_Drug
qd,甲巯咪唑,Frequency_Drug
qd,左旋甲状腺素钠,Frequency_Drug
周脉冲治疗,甲泼尼松龙,Frequency_Drug
qw,甲泼尼松龙,Frequency_Drug
分2~3次,醋酸可的松,Frequency_Drug
每日服药1次,β受体阻滞剂,Frequency_Drug
每日2~3次,预混胰岛素,Frequency_Drug
每日1~3次,胰岛素,Frequency_Drug
每日2次,预混人胰岛素,Frequency_Drug
每日2~3次,预混胰岛素类似物,Frequency_Drug
每日1~2次,预混胰岛素类似物,Frequency_Drug
每日2次,胰岛素促泌剂,Frequency_Drug
