from,to,rel
腹腔注射,链脲佐菌素,Method_Drug
腹腔注射,STZ,Method_Drug
腹腔注射,1%戊巴比妥钠,Method_Drug
注射,STZ,Method_Drug
餐前服用,非磺脲类胰岛素促泌剂,Method_Drug
餐前服用,格列奈类,Method_Drug
餐前,那格列奈,Method_Drug
口服,甲巯咪唑,Method_Drug
静脉推注,左卡尼汀,Method_Drug
口服,二甲双胍,Method_Drug
灌胃,生理盐水,Method_Drug
静脉,胰岛素,Method_Drug
皮下,胰岛素,Method_Drug
静脉,葡萄糖,Method_Drug
口服,葡萄糖,Method_Drug
持续静脉滴注,胰岛素,Method_Drug
静注,胰岛素,Method_Drug
多次皮下注射,胰岛素,Method_Drug
持续皮下注射,胰岛素,Method_Drug
皮下注射,胰岛素,Method_Drug
餐时,胰岛素,Method_Drug
基础,胰岛素,Method_Drug
预混,胰岛素,Method_Drug
基础+餐时,胰岛素,Method_Drug
注射,胰岛素,Method_Drug
输注,胰岛素,Method_Drug
注射,长效胰岛素,Method_Drug
注射,中效胰岛素,Method_Drug
餐时,中效胰岛素,Method_Drug
注射,预混胰岛素,Method_Drug
注射,基础胰岛素,Method_Drug
中餐注射,胰岛素,Method_Drug
睡前注射,胰岛素,Method_Drug
餐前皮下注射,速效胰岛素类似物,Method_Drug
静脉使用,速效胰岛素类似物,Method_Drug
早午晚三餐前注射,胰岛素,Method_Drug
三餐前,胰岛素,Method_Drug
基础一餐时,胰岛素,Method_Drug
基础,胰岛索,Method_Drug
主餐/早餐前,胰岛素,Method_Drug
基础+三餐前,胰岛素,Method_Drug
晚餐前,胰岛素,Method_Drug
基础联合餐时,短效或速效胰岛素,Method_Drug
早餐前,短效/速效胰岛素,Method_Drug
晚间注射,中效胰岛素,Method_Drug
早餐前,胰岛素,Method_Drug
晚餐前,预混胰岛素,Method_Drug
早餐前,预混胰岛素,Method_Drug
早晚餐前,预混胰岛素,Method_Drug
晚餐前,中预混制剂,Method_Drug
午餐前,中预混制剂,Method_Drug
