from,to,rel
消瘦,二甲双胍,SideEff-Drug
胃肠道反应,二甲双胍,SideEff-Drug
低血糖,二甲双胍,SideEff-Drug
乳酸性酸中毒,二甲双胍,SideEff-Drug
低血糖,甲苯磺丁脲,SideEff-Drug
低血糖,妥拉磺脲,SideEff-Drug
低血糖,氯磺丙脲,SideEff-Drug
低血糖,磺脲类药物,SideEff-Drug
低血糖,磺脲类,SideEff-Drug
低血糖,第二代磺脲类药物,SideEff-Drug
低血糖,格列本脲,SideEff-Drug
低血糖,格列吡嗪,SideEff-Drug
低血糖,格列奇特,SideEff-Drug
低血糖,格列喹酮,SideEff-Drug
低血糖,格列美脲,SideEff-Drug
低血糖,格列齐特,SideEff-Drug
低血糖,格列奈类,SideEff-Drug
过敏反应,格列奈类,SideEff-Drug
胃肠道不适,格列奈类,SideEff-Drug
眼睛异常,格列奈类,SideEff-Drug
肝功能损害,格列奈类,SideEff-Drug
低血糖,瑞格列奈,SideEff-Drug
液体潴留,噻唑烷二酮类,SideEff-Drug
骨折,噻唑烷二酮类,SideEff-Drug
骨质疏松,噻唑烷二酮类,SideEff-Drug
肝酶升高,噻唑烷二酮类,SideEff-Drug
体重增加,噻唑烷二酮类,SideEff-Drug
低血糖,噻唑烷二酮类,SideEff-Drug
胃肠道不适,d.糖苷酶抑制剂,SideEff-Drug
腹胀,d.糖苷酶抑制剂,SideEff-Drug
腹泻,d.糖苷酶抑制剂,SideEff-Drug
胃肠道不适,0【一糖苷酶抑制剂,SideEff-Drug
腹胀,0【一糖苷酶抑制剂,SideEff-Drug
腹泻,0【一糖苷酶抑制剂,SideEff-Drug
胃肠道不适,阿卡波糖,SideEff-Drug
胃肠道不适,伏格列波糖,SideEff-Drug
腹胀,阿卡波糖,SideEff-Drug
腹胀,伏格列波糖,SideEff-Drug
腹泻,阿卡波糖,SideEff-Drug
腹泻,伏格列波糖,SideEff-Drug
胃肠道不良反应,GLP一1,SideEff-Drug
胃肠道不良反应,艾塞那肽,SideEff-Drug
胃肠道不良反应,GLP.I,SideEff-Drug
胃肠道不良反应,GLP一1类似物,SideEff-Drug
胃肠道不良反应,利拉鲁肽,SideEff-Drug
低血糖,胰岛素,SideEff-Drug
体重增加,胰岛素,SideEff-Drug
外周组织水肿,胰岛素,SideEff-Drug
过敏反应,胰岛素,SideEff-Drug
低血糖,基础胰岛素,SideEff-Drug
过敏反应,磺脲类药物,SideEff-Drug
胃肠道不适,磺脲类药物,SideEff-Drug
眼睛异常,磺脲类药物,SideEff-Drug
肝功能损害,磺脲类药物,SideEff-Drug
液体潴留,吡格列酮,SideEff-Drug
液体潴留,罗格列酮,SideEff-Drug
骨折,吡格列酮,SideEff-Drug
骨质疏松,罗格列酮,SideEff-Drug
肝酶升高,吡格列酮,SideEff-Drug
肝酶升高,罗格列酮,SideEff-Drug
体重增加,吡格列酮,SideEff-Drug
体重增加,罗格列酮,SideEff-Drug
低血糖,吡格列酮,SideEff-Drug
低血糖,罗格列酮,SideEff-Drug
尿糖排出,SGLT-2抑制剂,SideEff-Drug
食欲旺盛,SGLT-2抑制剂,SideEff-Drug
增加体重,β受体阻滞剂,SideEff-Drug
升高血糖,他汀类药物,SideEff-Drug
增加体重,抗抑郁焦虑药物,SideEff-Drug
体重增加,TZDs,SideEff-Drug
水钠潴留,TZDs,SideEff-Drug
体重增加,磺脲类药物,SideEff-Drug
低血糖,GLP-1受体激动剂,SideEff-Drug
乳酸酸中毒,二甲双胍,SideEff-Drug
胃肠道副作用,二甲双胍,SideEff-Drug
一过性的腹痛,二甲双胍,SideEff-Drug
腹泻,二甲双胍,SideEff-Drug
恶心,二甲双胍,SideEff-Drug
维生素B12缺乏,二甲双胍,SideEff-Drug
无症状低血糖,胰岛素,SideEff-Drug
肌酶的升高,他汀类,SideEff-Drug
记忆丧失,他汀类药物,SideEff-Drug
意识模糊,他汀类药物,SideEff-Drug
黄疸,他汀类药物,SideEff-Drug
乏力不适,他汀类药物,SideEff-Drug
肝脏肿大,他汀类药物,SideEff-Drug
嗜睡,他汀类药物,SideEff-Drug
肝脏损害,他汀类药物,SideEff-Drug
肌病,他汀类药物,SideEff-Drug
记忆丧失,他汀类,SideEff-Drug
意识模糊,他汀类,SideEff-Drug
乳酸酸中毒,苯乙双胍,SideEff-Drug
无症状低血糖,β受体阻滞剂,SideEff-Drug
低血糖,口服降糖药,SideEff-Drug
夜间低血糖,长效胰岛素类似物,SideEff-Drug
夜间低血糖,中效胰岛素,SideEff-Drug
体重增加,二甲双胍,SideEff-Drug
低血糖,胰岛素促泌剂,SideEff-Drug
体重增加,胰岛素促泌剂,SideEff-Drug
低血糖,速效胰岛素类似物,SideEff-Drug
低血糖,NPH,SideEff-Drug
低血糖,长效人胰岛素类似物,SideEff-Drug
低血糖,预混胰岛素,SideEff-Drug
低血糖,长效胰岛素类似物,SideEff-Drug
蜜月期,胰岛素,SideEff-Drug
脆性糖尿病,胰岛素,SideEff-Drug
高血糖,胰岛素,SideEff-Drug
脆性糖尿病,胰岛素泵,SideEff-Drug
低血糖,速效胰岛素,SideEff-Drug
低血糖,胰岛索,SideEff-Drug
肝毒性,甲泼尼松龙,SideEff-Drug
心脏毒性,甲泼尼松龙,SideEff-Drug
视神经病变,利妥昔单抗,SideEff-Drug
消化性溃疡,激素,SideEff-Drug
感染,激素,SideEff-Drug
细胞因子释放综合征,利妥昔单抗,SideEff-Drug
负性肌力作用,β受体阻滞剂,SideEff-Drug
减慢心率,β受体阻滞剂,SideEff-Drug
影响糖脂代谢,β受体阻滞剂,SideEff-Drug
血容量不足,利尿剂,SideEff-Drug
低钾血症,利尿剂,SideEff-Drug
高尿酸血症,利尿剂,SideEff-Drug
跌倒,利尿剂,SideEff-Drug
虚弱,利尿剂,SideEff-Drug
低血压,β受体阻滞剂,SideEff-Drug
心脑肾等组织灌注不足,β受体阻滞剂,SideEff-Drug
低血糖,非磺脲类胰岛素促泌剂,SideEff-Drug
低血糖,α-糖苷酶抑制剂,SideEff-Drug
低血糖,DPP-4抑制剂,SideEff-Drug
心力衰竭,罗格列酮,SideEff-Drug
心力衰竭,利拉鲁肽,SideEff-Drug
心力衰竭,西格列汀,SideEff-Drug
血脂异常,西罗莫司,SideEff-Drug
肾小管毒性,西罗莫司,SideEff-Drug
神经毒性,西罗莫司,SideEff-Drug
致糖尿病作用,西罗莫司,SideEff-Drug
血脂异常,环孢素,SideEff-Drug
糖尿病,环孢素,SideEff-Drug
神经毒性,环孢素,SideEff-Drug
肾毒性,环孢素,SideEff-Drug
消化道症状,霉酚酸酯,SideEff-Drug
