from,to,rel
白蛋白尿,2型糖尿病,Symptom_Disease
白蛋白尿,临床肾病,Symptom_Disease
白蛋白尿,CN,Symptom_Disease
白蛋白尿,糖尿病视网膜病变,Symptom_Disease
白蛋白尿,糖尿病周围神经病变,Symptom_Disease
白蛋白尿,脑卒中,Symptom_Disease
白蛋白尿,DN,Symptom_Disease
蛋白尿,糖尿病,Symptom_Disease
蛋白尿,慢性微血管病变,Symptom_Disease
蛋白尿,DN,Symptom_Disease
蛋白尿,肾脏损伤,Symptom_Disease
高血糖,肾脏损伤,Symptom_Disease
下肢动脉的狭窄、闭塞,外周动脉疾病,Symptom_Disease
餐后高血糖,糖尿病,Symptom_Disease
高血糖,冠心病,Symptom_Disease
下肢动脉的狭窄、闭塞,PAD,Symptom_Disease
下肢动脉的狭窄、闭塞,下肢动脉病变,Symptom_Disease
一般情况较差,糖尿病,Symptom_Disease
精神状态不佳,糖尿病,Symptom_Disease
行动迟缓,糖尿病,Symptom_Disease
毛发杂乱无光,糖尿病,Symptom_Disease
多饮,糖尿病,Symptom_Disease
多尿,糖尿病,Symptom_Disease
溃疡愈合,DFU,Symptom_Disease
复发,DFU,Symptom_Disease
皮肤完整(溃疡形成前),溃疡,Symptom_Disease
有外周血管病变与足部高危体征,溃疡,Symptom_Disease
皮肤表面溃疡,溃疡,Symptom_Disease
在皮下脂肪层以内,溃疡,Symptom_Disease
疡深度达肌腱或韧带,溃疡,Symptom_Disease
有骨髓炎,溃疡,Symptom_Disease
足趾或足前端坏疽,溃疡,Symptom_Disease
整个或涉及足中后部分坏疽,溃疡,Symptom_Disease
无局部化脓或全身炎症征象,糖尿病足,Symptom_Disease
化脓,糖尿病足,Symptom_Disease
红肿,糖尿病足,Symptom_Disease
疼痛,糖尿病足,Symptom_Disease
触痛,糖尿病足,Symptom_Disease
局部发热,糖尿病足,Symptom_Disease
硬结中有2个或2个以上,糖尿病足,Symptom_Disease
或蜂窝织炎,糖尿病足,Symptom_Disease
直径、溃疡边缘红肿小于2cm,糖尿病足,Symptom_Disease
感染局限于皮肤和皮肤下组织,糖尿病足,Symptom_Disease
没有局部和全身并发症,糖尿病足,Symptom_Disease
患者全身情况包括糖代谢稳定,糖尿病足,Symptom_Disease
蜂窝织炎,糖尿病足,Symptom_Disease
淋巴管炎,糖尿病足,Symptom_Disease
筋膜下感染扩散,糖尿病足,Symptom_Disease
深部组织脓肿,糖尿病足,Symptom_Disease
坏疽,糖尿病足,Symptom_Disease
累及肌肉、肌腱、关节、骨骼,糖尿病足,Symptom_Disease
全身毒血症状,糖尿病足,Symptom_Disease
代谢不稳定,糖尿病足,Symptom_Disease
白蛋白尿,肾功能的下降,Symptom_Disease
白蛋白尿,糖尿病肾病,Symptom_Disease
蛋白尿,糖尿病肾病,Symptom_Disease
尿蛋白暂时升高,糖尿病。肾病,Symptom_Disease
肾功能的下降,糖尿病,Symptom_Disease
蛋白尿,肾功能损害,Symptom_Disease
肾功能进展,糖尿病肾病,Symptom_Disease
甲状腺肿大,甲状腺毒症,Symptom_Disease
甲状腺肿大,Graves病,Symptom_Disease
胸闷,甲亢,Symptom_Disease
高代谢症状,甲亢,Symptom_Disease
高代谢症状,克氏征,Symptom_Disease
胸闷,克氏征,Symptom_Disease
睾丸容积小,克氏征,Symptom_Disease
第二性征发育不良,克氏征,Symptom_Disease
皮肤细腻,克氏征,Symptom_Disease
肌肉松弛,克氏征,Symptom_Disease
无/少胡须,克氏征,Symptom_Disease
体毛稀,克氏征,Symptom_Disease
喉结不明显,克氏征,Symptom_Disease
乳腺发育,克氏征,Symptom_Disease
阴茎短小,克氏征,Symptom_Disease
心悸,甲亢,Symptom_Disease
手抖,甲亢,Symptom_Disease
怕热多汗,甲亢,Symptom_Disease
