from,to,rel
血透,急慢性肾脏疾病,Treatment_Disease
下肢截肢,糖尿病,Treatment_Disease
截肢,糖尿病,Treatment_Disease
截肢,糖尿病足,Treatment_Disease
非创伤性截肢,糖尿病足,Treatment_Disease
小截肢,糖尿病,Treatment_Disease
截肢,足溃疡,Treatment_Disease
截肢,神经病变,Treatment_Disease
截肢,下肢动脉病变,Treatment_Disease
截肢,肾病,Treatment_Disease
截肢,视网膜病变,Treatment_Disease
透析,CKD,Treatment_Disease
人工授精,克氏征,Treatment_Disease
显微睾丸精子抽提术,克氏征,Treatment_Disease
同位素治疗,甲亢,Treatment_Disease
同位素治疗,克氏征,Treatment_Disease
显微睾丸精子抽提术,甲亢,Treatment_Disease
人工授精,甲亢,Treatment_Disease
短期极低热量限食,2型糖尿病,Treatment_Disease
极低热量限食,2型糖尿病,Treatment_Disease
短期极低热量限食,肥胖,Treatment_Disease
限食疗法,肥胖,Treatment_Disease
限食疗法,2型糖尿病,Treatment_Disease
极低热量限食,高血压,Treatment_Disease
短期极低限食,2型糖尿病,Treatment_Disease
极低热量限食,重度肥胖,Treatment_Disease
短期极低限食,糖尿病,Treatment_Disease
MNT,糖尿病,Treatment_Disease
医学营养治疗,糖尿病,Treatment_Disease
MNT,代谢紊乱,Treatment_Disease
肥胖,2型糖尿病,Treatment_Disease
肥胖,糖尿病前期,Treatment_Disease
胃肠道副作用,2型糖尿病,Treatment_Disease
胃肠道副作用,糖尿病前期,Treatment_Disease
糖尿病,糖尿病前期,Treatment_Disease
糖尿病,2型糖尿病,Treatment_Disease
内镜下治疗,息肉,Treatment_Disease
补液,DKA,Treatment_Disease
静脉补液,DKA,Treatment_Disease
纠正水电解质平衡,酸中毒,Treatment_Disease
补液,酮症,Treatment_Disease
补液,酸中毒,Treatment_Disease
尽快补液,DKA,Treatment_Disease
纠正失水状态,DKA,Treatment_Disease
降低血糖,DKA,Treatment_Disease
纠正电解质及酸碱平衡紊乱,DKA,Treatment_Disease
寻找和去除诱因,DKA,Treatment_Disease
防治并发症,DKA,Treatment_Disease
单纯医学营养治疗,妊娠糖尿病,Treatment_Disease
合理调整胰岛素用量,代谢性DK,Treatment_Disease
预防性眼底光凝治疗,糖尿病视网膜病变,Treatment_Disease
CPAP,OSAHS,Treatment_Disease
持续气道正压通气治疗,OSAHS,Treatment_Disease
机械通气治疗,OSAHS,Treatment_Disease
双水平气道正压通气,OSAHS,Treatment_Disease
BiPAP,OSAHS,Treatment_Disease
自动或智能化CPAP,OSAHS,Treatment_Disease
口腔矫正器,OSAHS,Treatment_Disease
机械通气治疗,糖尿病,Treatment_Disease
双水平气道正压通气,糖尿病,Treatment_Disease
BiPAP,糖尿病,Treatment_Disease
自动或智能化CPAP,糖尿病,Treatment_Disease
胰岛细胞移植,糖尿病,Treatment_Disease
降糖,内质网应激,Treatment_Disease
免疫抑制,眼病,Treatment_Disease
免疫抑制治疗,眼病,Treatment_Disease
放射性碘治疗,GO,Treatment_Disease
放疗,GO,Treatment_Disease
球后放疗,视网膜微血管病变,Treatment_Disease
球后放疗,高血压,Treatment_Disease
球后放疗,糖尿病,Treatment_Disease
放射性碘治疗,甲减,Treatment_Disease
放疗,AIIAD,Treatment_Disease
浸润,AIIAD,Treatment_Disease
自体骨髓干细胞移植,糖尿病,Treatment_Disease
干细胞移植,糖尿病,Treatment_Disease
自体干细胞治疗,糖尿病,Treatment_Disease
干细胞移植治疗,2型糖尿病,Treatment_Disease
自体骨髓干细胞移植,2型糖尿病,Treatment_Disease
自体骨髓干细胞移植,1型糖尿病,Treatment_Disease
干细胞移植,1型糖尿病,Treatment_Disease
干细胞移植,2型糖尿病,Treatment_Disease
抗血小板治疗,LEAD,Treatment_Disease
血管腔内治疗,LEAD,Treatment_Disease
截肢,糖尿病足病,Treatment_Disease
彻底清创,溃疡,Treatment_Disease
抗生素治疗,足溃疡,Treatment_Disease
截肢,LEAD,Treatment_Disease
截肢,下肢缺血性溃疡,Treatment_Disease
腔内治疗,足部小血管病变,Treatment_Disease
截肢,溃疡,Treatment_Disease
彻底清创,感染,Treatment_Disease
抗血小板治疗,心血管疾病,Treatment_Disease
抗血小板治疗,糖尿病大血管病变,Treatment_Disease
减重手术,2型糖尿病,Treatment_Disease
减重手术,肥胖,Treatment_Disease
营养管理,糖尿病,Treatment_Disease
戒烟,脑梗死,Treatment_Disease
戒烟,老年糖尿病,Treatment_Disease
强化降糖,1型糖尿病,Treatment_Disease
强化降糖,血管并发症,Treatment_Disease
高糖,糖尿病,Treatment_Disease
高糖,1型糖尿病,Treatment_Disease
自体造血干细胞移植,糖尿病酮症酸中毒,Treatment_Disease
自体造血干细胞移植,1型糖尿病,Treatment_Disease
CSII,2型糖尿病,Treatment_Disease
双磷酸盐治疗,骨质疏松,Treatment_Disease
干细胞治疗,糖尿病,Treatment_Disease
放血,NAFLD,Treatment_Disease
性激素替代治疗,脂肪肝,Treatment_Disease
减重,脂肪肝,Treatment_Disease
降脂,脂肪肝,Treatment_Disease
减重,2型糖尿病,Treatment_Disease
降脂,2型糖尿病,Treatment_Disease
性激素替代治疗,2型糖尿病,Treatment_Disease
脐带间充质干细胞,2型糖尿病,Treatment_Disease
脐带间充质干细胞,胰腺炎症损伤,Treatment_Disease
脐带间充质干细胞治疗,T2DM,Treatment_Disease
UC-MSCs,T2DM,Treatment_Disease
脐带间充质干细胞联合治疗,T2DM,Treatment_Disease
脐带间充质干细胞,T2DM,Treatment_Disease
脐带间充质干细胞移植,2型糖尿病,Treatment_Disease
脐带间充质干细胞,慢性血管并发症,Treatment_Disease
同位素碘治疗,Graves病,Treatment_Disease
人工胰岛,糖尿病,Treatment_Disease
人工胰岛,1型糖尿病,Treatment_Disease
全天人工胰岛,1型糖尿病,Treatment_Disease
CSII,1型糖尿病,Treatment_Disease
人工胰岛,2型糖尿病,Treatment_Disease
夜间人工胰岛,1型糖尿病,Treatment_Disease
双激素人工胰岛,1型糖尿病,Treatment_Disease
单激素人工胰岛,1型糖尿病,Treatment_Disease
持续皮下胰岛素输注,1型糖尿病,Treatment_Disease
皮下胰岛素泵,糖尿病,Treatment_Disease
胰岛素泵,1型糖尿病,Treatment_Disease
SAP,1型糖尿病,Treatment_Disease
LGS,1型糖尿病,Treatment_Disease
PLGS,1型糖尿病,Treatment_Disease
全天单激素人工胰岛,糖尿病,Treatment_Disease
SAP,糖尿病,Treatment_Disease
院外人工胰岛,1型糖尿病,Treatment_Disease
人工胰岛,糖尿病并发症,Treatment_Disease
人工胰岛,妊娠1型糖尿病,Treatment_Disease
透析,肾功能不全,Treatment_Disease
高流量透析膜,肾功能不全,Treatment_Disease
血液透析,肾功能不全,Treatment_Disease
中西医结合治疗,糖尿病肾病,Treatment_Disease
抗氧化治疗,糖尿病,Treatment_Disease
抗氧化治疗,肿瘤,Treatment_Disease
血液透析,糖尿病,Treatment_Disease
透析,肾病,Treatment_Disease
透析,肾功能受损,Treatment_Disease
补充白蛋白,糖尿病,Treatment_Disease
降糖,糖尿病,Treatment_Disease
利尿,糖尿病,Treatment_Disease
严格限制饮食,线粒体突变所致糖尿病,Treatment_Disease
降糖,心包积液,Treatment_Disease
利尿,心包积液,Treatment_Disease
补充白蛋白,心包积液,Treatment_Disease
植入式除颤器,线粒体心肌病,Treatment_Disease
起搏器,线粒体心肌病,Treatment_Disease
肾脏替代治疗,肿瘤溶解综合征,Treatment_Disease
激素替代治疗,肾上腺髓质脂肪瘤,Treatment_Disease
糖皮质激素替代治疗,肾上腺髓质脂肪瘤,Treatment_Disease
抗血小板,2型糖尿病,Treatment_Disease
降压治疗,糖尿病,Treatment_Disease
配镜治疗,1型糖尿病,Treatment_Disease
导尿,双侧肾脏积水,Treatment_Disease
导尿,泌尿系统感染,Treatment_Disease
导尿,Wolfram综合征,Treatment_Disease
佩戴助听器,Wolfram综合征,Treatment_Disease
导尿,尿潴留,Treatment_Disease
降糖,中风,Treatment_Disease
利尿,心肌梗死,Treatment_Disease
根管治疗,根尖周炎,Treatment_Disease
抗感染,面部感染,Treatment_Disease
开放根管治疗,根尖周炎,Treatment_Disease
置皮条引流,面部感染,Treatment_Disease
局部引流换药,面部感染,Treatment_Disease
引流治疗,真菌感染,Treatment_Disease
抗感染,非促肾上腺皮质激素依赖性库欣综合征,Treatment_Disease
抗感染,肾上腺肿瘤,Treatment_Disease
生活方式的改变,肾病,Treatment_Disease
生活方式的改变,2型糖尿病,Treatment_Disease
早期抗凝,肾病,Treatment_Disease
早期抗凝,2型糖尿病,Treatment_Disease
胰岛细胞移植,1型糖尿病,Treatment_Disease
透析,终末期肾病,Treatment_Disease
受血液透析治疗,终末期肾病,Treatment_Disease
恩格列净,2型糖尿病,Treatment_Disease
餐前或餐后,2型糖尿病,Treatment_Disease
展服一次,超重/肥胖,Treatment_Disease
展服一次,2型糖尿病,Treatment_Disease
降糖,超重,Treatment_Disease
降糖,2型糖尿病,Treatment_Disease
降糖,心血管疾病,Treatment_Disease
降压,心血管疾病,Treatment_Disease
减重,心血管疾病,Treatment_Disease
降尿酸,心血管疾病,Treatment_Disease
减少蛋白尿,心血管疾病,Treatment_Disease
移植免疫治疗,2型糖尿病,Treatment_Disease
免疫抑制,2型糖尿病,Treatment_Disease
移植免疫治疗,代谢综合征,Treatment_Disease
移植免疫治疗,代谢紊乱,Treatment_Disease
运动,糖尿病前期,Treatment_Disease
抗阻、有氧运动,糖尿病,Treatment_Disease
抗阻、有氧运动,糖尿病前期,Treatment_Disease
运动,糖尿病,Treatment_Disease
有氧运动,糖尿病,Treatment_Disease
抗阻力运动,糖尿病,Treatment_Disease
有氧、抗阻力运动,糖尿病前期,Treatment_Disease
运动干预,糖尿病,Treatment_Disease
有氧、抗阻力运动,2型糖尿病,Treatment_Disease
有氧和抗阻力运动,2型糖尿病,Treatment_Disease
单纯有氧或抗阻力运动,2型糖尿病,Treatment_Disease
抗阻力、有氧运动,糖尿病前期,Treatment_Disease
抗阻力运动、有氧运动,糖尿病前期,Treatment_Disease
有氧运动,代谢紊乱疾病,Treatment_Disease
有氧运动,胰岛素抵抗,Treatment_Disease
有氧运动,2型糖尿病,Treatment_Disease
抗阻力运动,胰岛素抵抗,Treatment_Disease
抗阻力运动,糖尿病前期,Treatment_Disease
有氧运动,糖尿病前期,Treatment_Disease
抗阻力运动、有氧运动,血脂代谢异常,Treatment_Disease
