ent_id,ent_name,category
1,p70S6K,Anatomy
2,中性肽链内切酶,Anatomy
9,肾小管细胞,Anatomy
14,成纤维细胞生长因子诱导早期反应蛋白14,Anatomy
22,浆膜,Anatomy
29,肾脏内血管,Anatomy
38,BRAFV600E,Anatomy
48,肌醇需求激酶-1,Anatomy
61,孤束核,Anatomy
62,右肩部,Anatomy
64,下丘脑GnRH神经元,Anatomy
65,ERR-a,Anatomy
71,硫氧还蛋白结合蛋白2,Anatomy
81,干细胞,Anatomy
82,GLP-2,Anatomy
84,DPP-4,Anatomy
90,小肠黏膜刷状缘,Anatomy
92,GATA基因,Anatomy
96,CHOP-JNK-Caspase12凋亡信号,Anatomy
107,抗衰老基因Klotho,Anatomy
108,Raf1,Anatomy
111,肺,Anatomy
113,人尿酸盐转运子基因,Anatomy
122,生发中心,Anatomy
126,凋亡蛋白CCAAT,Anatomy
128,HMG-CoA,Anatomy
131,第1外显子,Anatomy
141,管道蛋白,Anatomy
147,人胰升糖素样肽,Anatomy
161,真核细胞,Anatomy
166,骨胶原蛋白,Anatomy
169,p21,Anatomy
174,PPARG,Anatomy
181,手,Anatomy
183,miroRNA,Anatomy
186,腺体,Anatomy
187,染色体,Anatomy
190,APPL1基因,Anatomy
193,肠黏膜上皮细胞,Anatomy
202,RASS系统,Anatomy
205,嗜铬粒蛋白α,Anatomy
213,细胞膜葡萄糖转运子,Anatomy
215,还原型辅酶2,Anatomy
223,T、B淋巴细胞,Anatomy
224,Cbfal基因,Anatomy
231,腹股沟,Anatomy
236,炎性细胞,Anatomy
238,三叉神经,Anatomy
246,Bcl,Anatomy
248,脂蛋白脂酶基因,Anatomy
249,COL4A5,Anatomy
250,外周肌肉组织,Anatomy
253,Pax-4,Anatomy
254,RSVs,Anatomy
257,IkB激酶,Anatomy
261,CML,Anatomy
263,肾小球出球小动脉,Anatomy
270,miR-143,Anatomy
285,骨性组织,Anatomy
288,NF-κB通路,Anatomy
301,肾脏肾小球系膜细胞,Anatomy
306,胆固醇侧链裂解酶,Anatomy
309,G蛋白耦联刺激素受体信号通路,Anatomy
318,β基因,Anatomy
329,O细胞,Anatomy
332,基质金属蛋白酶7,Anatomy
333,HGF,Anatomy
345,胃内分泌细胞,Anatomy
349,过氧化氢,Anatomy
362,颅骨,Anatomy
363,细胞周期蛋白依赖性蛋白激酶D1,Anatomy
365,p-JNK,Anatomy
372,细胞角蛋白18,Anatomy
377,后索,Anatomy
378,垂体阿黑皮素原(POMC)表达细胞,Anatomy
379,CKK,Anatomy
396,CHOP基因,Anatomy
406,肾脏TGF-β1,Anatomy
407,细胞周期蛋白依赖性蛋白激酶E,Anatomy
408,硬骨素,Anatomy
415,Caspase12mRNA,Anatomy
421,连接小管细胞,Anatomy
422,RNA结合,Anatomy
428,nkx2-1,Anatomy
432,胰岛素抑制基因,Anatomy
442,细胞间黏附分子-1,Anatomy
444,脂肪酸合成酶,Anatomy
449,免疫受体,Anatomy
462,Bregs,Anatomy
